Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	delay	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	HF	award	assault	report	purpose	alcohol	253	47	316	189	112	350	5	alcohol	112	457.478097614786	641.948681889095	1132.54148064767	252.200655975001	562.136651816401	237.26407986454	777.426213983908	920.075336238055	1210.87354182671	674.842637366365
1		TestProc	LF	helper	dodger	custard	fringe	celery	196	263	119	33	325	150	1	helper	196	729.7450576732	909.504678375328	442.981539343471	573.747737362059	1189.84788285576	718.923848098535	1057.85561400601	189.53177282183	610.569425459581	197.339182284403
1		TestProc	HF	lance	prayer	search	percent	tongue	43	333	268	206	142	250	2	prayer	333	1112.799344025	232.458519352332	658.403800104181	168.597390324653	440.243669192362	538.959798681001	664.651541284369	884.517618519667	1086.26459013026	840.204301442689
1		TestProc	LF	modesty	stance	guild	frisbee	cleric	327	107	242	34	175	250	1	modesty	327	622.144385993989	189.53177282183	1222.52190238521	641.948681889095	486.820962856429	712.788625114356	1063.6771613883	193.384970977983	874.862297099063	923.477879236698
1		TestProc	LF	barrage	nugget	lapse	cadaver	planner	4	206	143	282	67	350	4	cadaver	282	867.90258949765	125.97437989607	664.651541284369	884.517618519667	1080.72600926082	844.454204018917	448.740959706478	441.835323672897	1208.20194138098	368.70754860429
1		TestProc	LF	chord	zoning	escrow	leech	iodine	199	65	137	289	358	250	3	escrow	137	709.772738217137	903.207430239727	1202.52311481466	355.95269530372	1112.799344025	817.541480647668	461.792569760273	394.772738217137	826.040201319	125.243669192362
1		TestProc	HF	sweat	billion	profile	diamond	match	78	230	11	310	164	250	3	profile	11	1231.25904029352	441.835323672896	533.582222752409	782.115043874616	916.323598150618	132.349126620934	533.582222752409	267.884956125384	950.2549423268	909.504678375327
1		TestProc	LF	glitch	crewman	mixer	turban	gazette	257	107	46	188	330	350	1	glitch	257	450.251974085906	614.980421737546	1222.52190238521	641.948681889095	1127.73592013546	247.136651816401	784.330759615974	921.107227496628	640	178.589838486225
1		TestProc	HF	deputy	trick	bread	fantasy	prison	292	156	95	357	219	250	5	prison	219	469.126458173285	375.157362633635	1002.69465723032	890.41818305704	1238.4778792367	559.862297099063	819.065617502822	125.54818609817	588.271843580065	835.858384582788
1		TestProc	LF	charmer	gentry	memento	heresy	outpost	203	62	286	132	347	150	5	outpost	347	683.707548604291	893.201941380976	1193.17903714357	337.211374885644	455.495321624672	414.7450576732	1137.25793019096	792.652242543543	750.019578262454	135.251974085906
1		TestProc	LF	infidel	banjo	pretext	livery	spatter	116	330	43	186	265	250	5	spatter	265	1199.51761851967	700.348458715631	640	178.589838486225	1112.799344025	232.458519352332	798.188614692939	922.808758147309	441.522120763302	559.862297099063
1		TestProc	HF	scotch	missile	reality	cruise	brandy	11	85	214	151	289	350	4	cruise	151	916.323598150618	132.349126620934	1238.4778792367	490.137702900937	616.322838611701	856.615029022017	1033.92384809853	874.847882855758	461.792569760273	394.772738217137
1		TestProc	HF	moment	flight	bedroom	lemon	truth	22	88	221	288	155	150	3	bedroom	221	989.842637366365	154.126458173285	1239.75633080764	511.040201319	577.576388403797	826.883832089109	459.577393481939	401.393202250021	1009.04730469628	887.52311481466
1		TestProc	HF	attack	marshal	surgery	dealer	carpet	149	353	221	286	68	250	4	dealer	286	1046.01522996402	867.866920280845	791.252262637941	127.981539343471	577.576388403797	826.883832089109	455.495321624672	414.7450576732	1210.87354182671	375.157362633635
1		TestProc	LF	kicker	raisin	casing	jackal	goober	174	328	113	253	41	350	5	goober	41	881.811385307062	922.808758147309	628.032294306718	185.78076153743	1208.20194138098	681.292451395709	457.478097614786	641.948681889095	1102.4236115962	223.116167910891
1		TestProc	LF	airway	gravel	gateway	wharf	cleanup	241	43	114	175	305	350	3	gateway	114	490.152117144242	718.923848098535	1112.799344025	232.458519352332	1205.41818305704	687.69465723032	874.862297099063	923.477879236698	512.339182284403	295.569425459582
1		TestProc	LF	looney	hybrid	staging	giver	drinker	74	303	136	202	4	350	2	hybrid	303	1224.50467837533	414.7450576732	504.53177282183	307.144385993989	1117.8633481836	812.73592013546	690.157362633635	895.873541826715	867.90258949765	125.97437989607
1		TestProc	HF	style	blood	bottle	empire	church	147	73	352	279	211	350	3	bottle	352	1057.85561400601	860.46822717817	1222.52190238521	408.051318110905	784.330759615974	128.892772503372	444.924663761945	462.426213983908	633.984770035978	867.866920280845
1		TestProc	HF	tiger	divorce	rhythm	charge	punch	51	257	128	195	349	150	2	divorce	257	1150.85838458279	273.271843580065	450.251974085906	614.980421737546	1155.20430144269	771.264590130263	736.472381958992	911.370330515627	763.676401849382	132.349126620934
1		TestProc	LF	hearsay	sparkle	lotto	chuckle	ranking	142	211	336	272	49	250	2	sparkle	211	1086.26459013026	840.204301442689	633.984770035978	867.866920280845	677.30534276968	159.58181694296	440.243669192362	511.040201318999	1141.88383208911	262.576388403797
1		TestProc	HF	sense	vault	pattern	video	palace	88	313	149	227	21	350	2	vault	313	1239.75633080764	511.040201319	547.458519352332	252.200655975001	1046.01522996402	867.866920280845	547.458519352332	797.799344025	983.34717981812	151.567829401119
1		TestProc	HF	liberty	blade	sight	charm	dough	122	340	41	270	205	150	4	charm	270	1179.21923846257	736.967705693282	703.191942669732	149.122951685637	1102.4236115962	223.116167910891	440	525	670.95269530372	887.52311481466
1		TestProc	LF	skater	perch	tiara	burrito	deficit	89	264	326	27	200	150	4	burrito	27	1239.93907806256	518.019037425087	442.191241852691	566.811385307061	616.322838611701	193.384970977983	1021.59619989582	168.597390324653	703.191942669732	900.877048314363
1		TestProc	LF	staple	prude	paging	tingle	mural	167	332	106	234	33	150	2	prude	332	929.980421737546	914.748025914094	652.211374885644	171.820962856429	1224.50467837533	635.2549423268	516.393202250021	760.114100916989	1057.85561400601	189.53177282183
1		TestProc	LF	whirl	bellman	firearm	buffer	phobia	282	158	93	219	28	150	3	firearm	93	448.740959706478	441.835323672897	989.842637366365	895.873541826715	1239.45181390183	545.934382497177	588.271843580065	835.858384582788	1027.78862511436	171.820962856429
1		TestProc	HF	council	detail	motor	quarter	radar	233	309	24	170	88	350	1	council	233	520.545795981083	765.726009260819	529.141615417212	273.271843580065	1002.69465723032	159.58181694296	909.459271066772	918.923101204883	1239.75633080764	511.040201319
1		TestProc	HF	editor	flower	champ	coach	cigar	288	222	67	356	141	250	1	editor	288	459.577393481939	401.393202250021	572.347757456457	822.257930190958	1208.20194138098	368.70754860429	812.09741050235	125.97437989607	1091.72815641994	835.858384582788
1		TestProc	LF	imprint	starch	cello	talon	bonanza	201	335	262	48	140	250	4	talon	48	696.65282018188	898.432170598881	670.95269530372	162.47688518534	443.892772503372	580.669240384026	1137.25793019096	257.347757456457	1097.11504387462	831.417777247591
1		TestProc	HF	collar	minute	verdict	youth	poetry	184	246	317	96	31	150	5	poetry	31	812.09741050235	924.02562010393	474.58181694296	687.69465723032	567.200655975001	232.458519352332	1237.80875814731	566.811385307061	1046.01522996402	182.133079719155
1		TestProc	HF	chicken	smile	wallet	baron	nation	292	170	11	79	231	150	1	chicken	292	469.126458173285	375.157362633635	909.459271066772	918.923101204883	916.323598150618	132.349126620934	1232.65087337907	448.676401849382	529.141615417212	776.728156419935
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	HF	patrol	plastic	morning	mercy	range	274	338	209	128	64	350	4	mercy	128	440.97437989607	497.09741050235	690.157362633635	154.126458173285	646.076151901465	874.847882855758	1155.20430144269	771.264590130263	1199.51761851967	349.651541284369
1		TestProc	LF	spunk	vendor	charger	growl	hydrant	296	156	82	219	359	350	2	vendor	156	480.482381480333	349.651541284369	1002.69465723032	890.41818305704	1236.10722749663	469.330759615974	588.271843580065	835.858384582788	833.019037425086	125.060921937443
1		TestProc	HF	bridge	letter	pound	payment	chase	113	335	266	205	49	150	1	bridge	113	1208.20194138098	681.292451395709	670.95269530372	162.47688518534	440.97437989607	552.90258949765	670.95269530372	887.52311481466	1141.88383208911	262.576388403797
1		TestProc	HF	family	torture	pumpkin	misery	suite	270	110	335	46	180	350	1	family	270	440	525	1215.87704831436	661.808057330268	670.95269530372	162.47688518534	1127.73592013546	247.136651816401	840	925
1		TestProc	HF	backup	plane	penny	ballet	killer	20	156	227	313	94	250	2	plane	156	976.808057330268	149.122951685637	1002.69465723032	890.41818305704	547.458519352332	797.799344025	547.458519352332	252.200655975001	1239.02562010393	552.90258949765
1		TestProc	LF	sandbox	debrief	kiddie	liege	slang	154	217	291	13	85	250	5	slang	85	1015.34845871563	884.517618519667	599.273990739181	844.454204018917	466.567829401119	381.65282018188	929.980421737546	135.251974085906	1238.4778792367	490.137702900937
1		TestProc	LF	femur	nebula	bedside	petrol	fossil	25	246	114	184	309	350	1	femur	25	1009.04730469628	162.47688518534	474.58181694296	687.69465723032	1205.41818305704	687.69465723032	812.09741050235	924.02562010393	529.141615417212	273.271843580065
1		TestProc	LF	typhoon	pianist	flake	commune	eulogy	133	266	30	202	327	250	4	commune	202	1132.54148064767	797.799344024999	440.97437989607	552.90258949765	1040	178.589838486224	690.157362633635	895.873541826715	622.144385993989	189.53177282183
1		TestProc	HF	stone	trauma	benefit	student	disease	106	249	167	314	15	350	2	trauma	249	1224.50467837533	635.2549423268	466.567829401119	668.34717981812	929.980421737546	914.748025914094	552.264079864539	247.136651816401	943.527618041008	138.629669484373
1		TestProc	LF	nacho	faucet	vinyl	topside	compact	204	275	338	126	51	350	3	vinyl	338	677.30534276968	890.41818305704	441.522120763302	490.137702900937	690.157362633635	154.126458173285	1163.60679774998	760.114100916989	1150.85838458279	273.271843580065
1		TestProc	HF	winter	pencil	estate	beard	warning	211	2	141	293	72	150	3	estate	141	633.984770035978	867.866920280845	853.959798681	125.243669192362	1091.72815641994	835.858384582788	471.798058619024	368.707548604291	1220.42260651806	401.393202250021
1		TestProc	HF	vodka	screen	track	option	target	218	9	294	81	148	150	4	option	81	593.735409869737	840.204301442689	902.573786016092	129.924663761945	474.58181694296	362.30534276968	1235.07533623806	462.426213983908	1051.96770569328	864.21923846257
1		TestProc	HF	bishop	light	station	company	artist	146	278	215	72	357	250	5	artist	357	1063.6771613883	856.615029022017	443.892772503372	469.330759615974	610.569425459582	852.660817715597	1220.42260651806	401.393202250021	819.065617502822	125.54818609817
1		TestProc	LF	hyena	deluxe	refugee	necktie	frenzy	284	80	218	150	2	150	4	necktie	150	451.881709489601	428.231241760133	1233.92310120488	455.540728933228	593.735409869737	840.204301442689	1040	871.410161513776	853.959798681	125.243669192362
1		TestProc	LF	default	eyeball	camper	occult	detox	67	6	296	166	227	350	5	detox	227	1208.20194138098	368.70754860429	881.811385307061	127.191241852691	480.482381480333	349.651541284369	936.768758239867	913.118290510399	547.458519352332	797.799344025
1		TestProc	LF	goalie	manhunt	scorn	rowing	golfer	179	116	55	260	350	350	4	rowing	260	846.980962574913	924.939078062557	1199.51761851967	700.348458715631	1167.6608177156	295.569425459582	446.076898795117	594.459271066772	770.540728933227	131.076898795117
1		TestProc	HF	board	purse	deposit	robot	wedding	78	175	237	1	300	150	5	wedding	300	1231.25904029352	441.835323672896	874.862297099063	923.477879236698	504.53177282183	742.855614006011	846.980962574913	125.060921937443	493.589838486225	325
1		TestProc	LF	lowlife	montage	vector	unrest	radium	146	212	284	73	355	250	1	lowlife	146	1063.6771613883	856.615029022017	628.032294306718	864.219238462571	451.881709489601	428.231241760133	1222.52190238521	408.051318110905	805.137702900937	126.522120763302
1		TestProc	HF	paper	majesty	photo	statue	pistol	24	295	233	158	91	150	2	majesty	295	1002.69465723032	159.58181694296	477.47688518534	355.95269530372	520.545795981083	765.726009260819	989.842637366365	895.873541826715	1239.93907806256	531.980962574913
1		TestProc	LF	vortex	amnesty	caravan	bugler	vinegar	178	325	35	241	111	150	3	caravan	35	853.959798681	924.756330807638	610.569425459581	197.339182284403	1069.43057454042	197.339182284403	490.152117144242	718.923848098535	1213.43217059888	668.34717981812
1		TestProc	LF	quartet	pokey	busboy	catfish	ravine	180	324	103	248	41	150	5	ravine	41	840	925	604.885899083011	201.393202250021	1229.74802591409	614.980421737546	469.126458173285	674.842637366365	1102.4236115962	223.116167910891
1		TestProc	LF	girdle	jeweler	gorge	ringer	cider	234	170	98	19	318	250	2	jeweler	170	516.393202250021	760.114100916989	909.459271066772	918.923101204883	1236.10722749663	580.669240384026	970.227261782863	146.792569760273	572.347757456457	227.742069809042
1		TestProc	HF	route	motion	opera	program	dragon	135	72	197	3	286	350	3	opera	197	1122.84271247462	807.842712474619	1220.42260651806	401.393202250021	723.051318110905	907.521902385214	860.934382497178	125.54818609817	455.495321624672	414.7450576732
1		TestProc	LF	pimple	titan	bondage	archive	checker	31	251	177	315	113	150	2	titan	251	1046.01522996402	182.133079719155	461.792569760273	655.227261782863	860.934382497177	924.45181390183	557.157287525381	242.157287525381	1208.20194138098	681.292451395709
1		TestProc	HF	sauce	monkey	scene	amount	fence	2	195	67	128	294	250	4	amount	128	853.959798681	125.243669192362	736.472381958992	911.370330515627	1208.20194138098	368.70754860429	1155.20430144269	771.264590130263	474.58181694296	362.30534276968
1		TestProc	LF	scurvy	malice	bayonet	deceit	speck	325	224	161	27	92	150	1	scurvy	325	610.569425459581	197.339182284403	562.136651816401	812.73592013546	970.227261782863	903.207430239727	1021.59619989582	168.597390324653	1239.75633080764	538.959798681
1		TestProc	HF	squad	captain	opinion	nanny	dancer	64	279	347	213	141	250	1	squad	64	1199.51761851967	349.651541284369	444.924663761945	462.426213983908	750.019578262454	135.251974085906	622.144385993989	860.46822717817	1091.72815641994	835.858384582788
1		TestProc	HF	respect	ending	signal	tooth	doctor	169	308	12	102	230	350	5	doctor	230	916.323598150618	917.650873379066	524.795698557311	278.735409869737	923.164676327104	133.740959706478	1231.25904029352	608.164676327104	533.582222752409	782.115043874616
1		TestProc	LF	anthrax	gazelle	graft	gauze	anthem	82	153	20	298	233	250	3	graft	20	1236.10722749663	469.330759615974	1021.59619989582	881.402609675347	976.808057330268	149.122951685637	486.820962856429	337.211374885644	520.545795981083	765.726009260819
1		TestProc	HF	attempt	floor	album	journey	rocket	328	101	184	265	33	250	3	album	184	628.032294306718	185.78076153743	1232.65087337907	601.323598150618	812.09741050235	924.02562010393	441.522120763302	559.862297099063	1057.85561400601	189.53177282183
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	HF	mister	vampire	bunny	energy	second	124	49	216	346	284	250	5	second	284	1171.61502902202	748.677161388299	1141.88383208911	262.576388403797	604.885899083011	848.606797749979	743.231241760133	136.881709489601	451.881709489601	428.231241760133
1		TestProc	HF	fairy	banana	history	south	crash	10	227	297	74	164	250	2	banana	227	909.459271066772	131.076898795117	547.458519352332	797.799344025	483.597390324653	343.403800104181	1224.50467837533	414.7450576732	950.2549423268	909.504678375327
1		TestProc	HF	trial	dream	haven	peanut	stroke	184	347	59	123	278	150	4	peanut	123	812.09741050235	924.02562010393	750.019578262454	135.251974085906	1182.86692028084	318.984770035978	1175.46822717817	742.855614006011	443.892772503372	469.330759615974
1		TestProc	LF	arsenal	rhubarb	hairdo	prune	kennel	266	132	329	193	45	350	1	arsenal	266	440.97437989607	552.90258949765	1137.25793019096	792.652242543543	633.984770035978	182.133079719155	750.019578262454	914.748025914094	1122.84271247462	242.157287525381
1		TestProc	HF	dozen	bucket	skirt	salary	combat	308	242	22	151	89	350	4	salary	151	524.795698557311	278.735409869737	486.820962856429	712.788625114356	989.842637366365	154.126458173285	1033.92384809853	874.847882855758	1239.93907806256	518.019037425087
1		TestProc	LF	mileage	ferret	latex	podium	ballast	249	331	112	51	182	150	3	latex	112	466.567829401119	668.34717981812	646.076151901465	175.152117144242	1210.87354182671	674.842637366365	1150.85838458279	273.271843580065	826.040201319	924.756330807638
1		TestProc	HF	cream	horse	credit	madam	hammer	106	250	180	44	329	350	1	cream	106	1224.50467837533	635.2549423268	464.122951685637	661.808057330268	840	925	1117.8633481836	237.264079864539	633.984770035978	182.133079719155
1		TestProc	LF	culprit	hanger	zillion	kimono	hobbit	128	45	343	198	280	150	5	hobbit	280	1155.20430144269	771.264590130263	1122.84271247462	242.157287525381	723.051318110906	142.478097614786	716.393202250021	905.422606518061	446.076898795117	455.540728933228
1		TestProc	HF	stomach	theory	limit	silver	nerve	68	292	2	219	142	350	3	limit	2	1210.87354182671	375.157362633635	469.126458173285	375.157362633635	853.959798681	125.243669192362	588.271843580065	835.858384582788	1086.26459013026	840.204301442689
1		TestProc	LF	banter	gloom	adviser	tasting	looker	77	225	148	292	5	150	4	tasting	292	1229.74802591409	435.019578262454	557.157287525381	807.842712474619	1051.96770569328	864.21923846257	469.126458173285	375.157362633635	874.862297099063	126.522120763302
1		TestProc	LF	garter	liner	spawn	kickoff	watcher	99	176	30	242	317	250	2	liner	176	1235.07533623806	587.573786016092	867.90258949765	924.02562010393	1040	178.589838486224	486.820962856429	712.788625114356	567.200655975001	232.458519352332
1		TestProc	HF	passion	wisdom	funeral	liquor	piece	180	118	311	243	42	150	5	piece	42	840	925	1193.17903714357	712.788625114356	538.116167910891	262.576388403797	483.597390324653	706.596199895819	1107.65224254354	227.742069809042
1		TestProc	HF	county	burger	flash	woman	object	297	90	234	163	24	350	5	object	24	483.597390324653	343.403800104181	1240	525	516.393202250021	760.114100916989	956.948681889095	907.521902385214	1002.69465723032	159.58181694296
1		TestProc	HF	hunting	print	issue	supply	surgeon	65	273	2	128	209	150	2	print	273	1202.52311481466	355.95269530372	440.54818609817	504.065617502822	853.959798681	125.243669192362	1155.20430144269	771.264590130263	646.076151901465	874.847882855758
1		TestProc	LF	heroism	hernia	omega	bonfire	eyebrow	178	45	248	321	107	150	1	heroism	178	853.959798681	924.756330807638	1122.84271247462	242.157287525381	469.126458173285	674.842637366365	588.271843580065	214.141615417212	1222.52190238521	641.948681889095
1		TestProc	HF	product	blanket	birth	finger	contest	287	117	187	52	351	250	3	birth	187	457.478097614786	408.051318110905	1196.40260967535	706.596199895819	791.252262637941	922.018460656529	1155.20430144269	278.735409869737	777.426213983908	129.924663761945
1		TestProc	LF	lagoon	pretzel	sunup	venting	dosage	123	184	246	333	60	250	1	lagoon	123	1175.46822717817	742.855614006011	812.09741050235	924.02562010393	474.58181694296	687.69465723032	658.403800104181	168.597390324653	1186.41016151378	325
1		TestProc	LF	sheik	muffler	esquire	sulfur	tracker	24	247	94	314	160	250	3	esquire	94	1002.69465723032	159.58181694296	471.798058619024	681.29245139571	1239.02562010393	552.90258949765	552.264079864539	247.136651816401	976.808057330268	900.877048314363
