Weight	Nested	Procedure	dom_freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	freq1	freq2	freq3	freq4	freq5	freq_config
1		TestProc	HF	sitter	apology	ranch	knife	footing	318	242	112	179	51	1000	5	footing	51	572.347757456457	227.742069809042	486.820962856429	712.788625114356	1210.87354182671	674.842637366365	846.980962574913	924.939078062557	1150.85838458279	273.271843580065	LF	HF	HF	HF	LF	6
1		TestProc	LF	nebula	cowboy	grownup	ripple	deposit	234	36	101	173	321	500	2	cowboy	36	516.393202250021	760.114100916989	1075.11410091699	201.393202250021	1232.65087337907	601.323598150618	888.747737362059	922.018460656529	588.271843580065	214.141615417212	LF	HF	LF	LF	HF	3
1		TestProc	LF	biker	trail	store	refusal	pebble	100	7	175	299	238	750	2	trail	7	1233.92310120488	594.459271066772	888.747737362059	127.981539343471	874.862297099063	923.477879236698	490.152117144242	331.076151901465	500.78076153743	736.967705693282	LF	HF	HF	LF	LF	5
1		TestProc	LF	rigging	trash	mascara	season	prune	43	117	331	185	268	500	1	rigging	43	1112.799344025	232.458519352332	1196.40260967535	706.596199895819	646.076151901465	175.152117144242	805.137702900937	923.477879236698	440.243669192362	538.959798681001	LF	HF	LF	HF	LF	4
1		TestProc	HF	index	voice	raffle	drawer	master	120	349	271	192	53	500	5	master	53	1186.41016151378	725	763.676401849382	132.349126620934	440.060921937443	518.019037425087	756.835323672896	916.259040293522	1159.45420401892	284.273990739181	LF	HF	LF	HF	HF	8
1		TestProc	HF	savvy	style	burner	failure	paper	221	144	1	297	63	1000	1	savvy	221	577.576388403797	826.883832089109	1075.11410091699	848.606797749979	846.980962574913	125.060921937443	483.597390324653	343.403800104181	1196.40260967535	343.403800104181	LF	HF	LF	HF	HF	8
1		TestProc	HF	pocket	mother	degree	rebirth	pillar	291	156	93	225	2	1000	4	rebirth	225	466.567829401119	381.65282018188	1002.69465723032	890.41818305704	1239.45181390183	545.934382497177	557.157287525381	807.842712474619	853.959798681	125.243669192362	HF	HF	HF	LF	LF	0
1		TestProc	HF	blast	grandma	clover	summary	pilot	180	119	268	51	333	750	5	pilot	333	840	925	1189.84788285576	718.923848098535	440.243669192362	538.959798681001	1150.85838458279	273.271843580065	658.403800104181	168.597390324653	HF	HF	LF	LF	HF	2
1		TestProc	HF	groupie	pistol	butter	sewage	sheriff	74	156	287	358	225	500	3	butter	287	1224.50467837533	414.7450576732	1002.69465723032	890.41818305704	457.478097614786	408.051318110905	826.040201319	125.243669192362	557.157287525381	807.842712474619	LF	HF	HF	LF	HF	7
1		TestProc	HF	routine	square	garbage	knuckle	buzzard	7	220	70	302	151	750	3	garbage	70	888.747737362059	127.981539343471	582.884956125384	831.417777247591	1215.87704831436	388.191942669732	500.78076153743	313.032294306718	1033.92384809853	874.847882855758	HF	HF	HF	LF	LF	0
1		TestProc	HF	couch	command	raisin	range	removal	78	348	276	144	207	750	2	command	348	1231.25904029352	441.835323672896	756.835323672896	133.740959706478	442.191241852691	483.188614692939	1075.11410091699	848.606797749979	658.403800104182	881.402609675347	HF	HF	LF	HF	LF	1
1		TestProc	HF	manger	costume	sense	shock	canopy	308	92	155	224	24	500	2	costume	92	524.795698557311	278.735409869737	1239.75633080764	538.959798681	1009.04730469628	887.52311481466	562.136651816401	812.73592013546	1002.69465723032	159.58181694296	LF	HF	HF	HF	LF	6
