Weight	Nested	Procedure	dom_freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	freq1	freq2	freq3	freq4	freq5	freq_config
1		TestProc	HF	deluxe	tempo	shock	month	signal	286	2	152	75	214	500	3	shock	152	455.495321624672	414.7450576732	853.959798681	125.243669192362	1027.78862511436	878.179037143571	1226.37033051563	421.472381958992	616.322838611701	856.615029022017	LF	LF	HF	HF	HF	9
1		TestProc	LF	kickoff	learner	target	battery	trapper	328	254	62	127	188	1000	4	battery	127	628.032294306718	185.78076153743	455.495321624672	635.2549423268	1193.17903714357	337.211374885644	1159.45420401892	765.726009260819	784.330759615974	921.107227496628	LF	LF	HF	HF	LF	2
1		TestProc	HF	cynic	threat	airway	jungle	carpet	148	11	213	304	72	1000	3	airway	213	1051.96770569328	864.21923846257	916.323598150618	132.349126620934	622.144385993989	860.46822717817	508.384970977983	301.322838611702	1220.42260651806	401.393202250021	LF	HF	LF	HF	HF	8
1		TestProc	LF	staple	esteem	circle	vision	neutron	255	39	101	333	162	500	2	esteem	39	453.629669484373	628.527618041008	1091.72815641993	214.141615417212	1232.65087337907	601.323598150618	658.403800104181	168.597390324653	963.606797749979	905.422606518061	LF	LF	HF	HF	LF	2
1		TestProc	HF	theater	cadaver	truth	guild	anger	69	347	143	204	284	1000	4	guild	204	1213.43217059888	381.65282018188	750.019578262454	135.251974085906	1080.72600926082	844.454204018917	677.30534276968	890.41818305704	451.881709489601	428.231241760133	HF	LF	HF	LF	HF	4
1		TestProc	HF	iodine	knife	fleet	article	alamo	258	127	49	333	193	750	3	fleet	49	448.740959706478	608.164676327104	1159.45420401892	765.726009260819	1141.88383208911	262.576388403797	658.403800104181	168.597390324653	750.019578262454	914.748025914094	LF	HF	HF	HF	LF	6
1		TestProc	HF	match	shell	mural	raffle	legend	294	356	148	212	87	500	1	match	294	474.58181694296	362.30534276968	812.09741050235	125.97437989607	1051.96770569328	864.21923846257	628.032294306718	864.219238462571	1239.45181390183	504.065617502822	HF	HF	LF	LF	HF	2
1		TestProc	HF	block	latch	weather	music	rubble	284	144	353	76	205	750	2	latch	144	451.881709489601	428.231241760133	1075.11410091699	848.606797749979	791.252262637941	127.981539343471	1228.1182905104	428.231241760133	670.95269530372	887.52311481466	HF	LF	HF	HF	LF	3
1		TestProc	HF	tooth	whiskey	fishing	grate	arsenic	170	108	231	301	7	750	5	arsenic	7	909.459271066772	918.923101204883	1220.42260651806	648.606797749979	529.141615417212	776.728156419935	497.133079719155	318.984770035978	888.747737362059	127.981539343471	HF	HF	HF	LF	LF	0
1		TestProc	HF	pilot	gazette	stout	plastic	radar	333	184	119	56	270	500	4	plastic	56	658.403800104181	168.597390324653	812.09741050235	924.02562010393	1189.84788285576	718.923848098535	1171.61502902202	301.322838611701	440	525	HF	LF	LF	HF	HF	5
1		TestProc	LF	prayer	armory	emery	spatter	league	218	70	282	145	8	500	5	league	8	593.735409869737	840.204301442689	1215.87704831436	388.191942669732	448.740959706478	441.835323672897	1069.43057454042	852.660817715597	895.669240384026	128.892772503372	HF	LF	LF	LF	HF	6
1		TestProc	LF	ration	mother	hitter	cooking	calcium	199	129	61	266	346	1000	3	hitter	61	709.772738217137	903.207430239727	1150.85838458279	776.728156419935	1189.84788285576	331.076151901465	440.97437989607	552.90258949765	743.231241760133	136.881709489601	LF	HF	LF	HF	LF	4
1		TestProc	LF	helium	plate	album	guzzler	anarchy	21	83	313	227	165	1000	5	anarchy	165	983.34717981812	151.567829401119	1237.01846065653	476.252262637941	547.458519352332	252.200655975001	547.458519352332	797.799344025	943.527618041008	911.370330515627	LF	HF	HF	LF	LF	5
1		TestProc	LF	topside	plank	airport	genre	shirt	352	275	67	212	145	750	3	airport	67	784.330759615974	128.892772503372	441.522120763302	490.137702900937	1208.20194138098	368.70754860429	628.032294306718	864.219238462571	1069.43057454042	852.660817715597	LF	LF	HF	LF	HF	1
1		TestProc	HF	collie	haven	bureau	lapse	dough	114	197	48	258	322	750	4	lapse	258	1205.41818305704	687.69465723032	723.051318110905	907.521902385214	1137.25793019096	257.347757456457	448.740959706478	608.164676327104	593.735409869736	209.795698557311	LF	HF	HF	LF	HF	7
1		TestProc	LF	lover	zillion	wingman	nerve	goatee	54	122	331	257	195	750	4	nerve	257	1163.60679774998	289.885899083011	1179.21923846257	736.967705693282	646.076151901465	175.152117144242	450.251974085906	614.980421737546	736.472381958992	911.370330515627	HF	LF	LF	HF	LF	7
1		TestProc	HF	torture	fraud	latex	trauma	rampage	217	6	73	297	144	500	2	fraud	6	599.273990739181	844.454204018917	881.811385307061	127.191241852691	1222.52190238521	408.051318110905	483.597390324653	343.403800104181	1075.11410091699	848.606797749979	HF	HF	LF	HF	LF	1
1		TestProc	LF	proverb	forum	infidel	train	labor	257	187	51	116	345	500	3	infidel	51	450.251974085906	614.980421737546	791.252262637941	922.018460656529	1150.85838458279	273.271843580065	1199.51761851967	700.348458715631	736.472381958992	138.629669484373	LF	LF	LF	HF	HF	0
1		TestProc	LF	chrome	moment	mosque	refusal	driver	263	324	34	96	186	1000	1	chrome	263	442.981539343471	573.747737362059	604.885899083011	201.393202250021	1063.6771613883	193.384970977983	1237.80875814731	566.811385307061	798.188614692939	922.808758147309	LF	HF	LF	LF	HF	3
1		TestProc	HF	buster	toupee	plant	bugler	string	258	67	337	129	196	500	5	string	196	448.740959706478	608.164676327104	1208.20194138098	368.70754860429	683.70754860429	156.798058619024	1150.85838458279	776.728156419935	729.7450576732	909.504678375328	HF	LF	HF	LF	HF	4
1		TestProc	HF	bargain	scourge	stinker	destiny	punch	307	11	76	244	167	1000	1	bargain	307	520.545795981083	284.273990739181	916.323598150618	132.349126620934	1228.1182905104	428.231241760133	480.482381480333	700.348458715631	929.980421737546	914.748025914094	HF	LF	LF	HF	HF	5
1		TestProc	LF	prune	island	mousse	canopy	basket	141	280	70	219	356	500	1	prune	141	1091.72815641994	835.858384582788	446.076898795117	455.540728933228	1215.87704831436	388.191942669732	588.271843580065	835.858384582788	812.09741050235	125.97437989607	LF	HF	LF	LF	HF	3
1		TestProc	HF	thumper	shawl	million	angle	twist	284	76	10	215	147	1000	2	shawl	76	451.881709489601	428.231241760133	1228.1182905104	428.231241760133	909.459271066772	131.076898795117	610.569425459582	852.660817715597	1057.85561400601	860.46822717817	LF	LF	HF	HF	HF	9
1		TestProc	HF	fanatic	voice	dodger	avenue	freedom	26	242	180	96	313	750	1	fanatic	26	1015.34845871563	165.482381480333	486.820962856429	712.788625114356	840	925	1237.80875814731	566.811385307061	547.458519352332	252.200655975001	LF	HF	LF	HF	HF	8
1		TestProc	LF	spender	goober	chord	winner	peace	225	154	286	347	87	750	2	goober	154	557.157287525381	807.842712474619	1015.34845871563	884.517618519667	455.495321624672	414.7450576732	750.019578262454	135.251974085906	1239.45181390183	504.065617502822	LF	LF	LF	HF	HF	0
1		TestProc	HF	quarter	drill	brood	chase	nylon	299	220	76	157	11	1000	5	nylon	11	490.152117144242	331.076151901465	582.884956125384	831.417777247591	1228.1182905104	428.231241760133	996.29245139571	893.201941380976	916.323598150618	132.349126620934	HF	HF	LF	HF	LF	1
1		TestProc	LF	credit	pantry	faraway	ground	aunty	291	161	93	10	227	500	4	ground	10	466.567829401119	381.65282018188	970.227261782863	903.207430239727	1239.45181390183	545.934382497177	909.459271066772	131.076898795117	547.458519352332	797.799344025	HF	LF	LF	HF	LF	7
1		TestProc	LF	scout	light	wreath	copilot	persona	210	148	358	85	294	750	1	scout	210	640	871.410161513775	1051.96770569328	864.21923846257	826.040201319	125.243669192362	1238.4778792367	490.137702900937	474.58181694296	362.30534276968	HF	HF	LF	LF	LF	9
1		TestProc	LF	needle	whatnot	control	deceit	boating	10	212	307	151	80	750	5	boating	80	909.459271066772	131.076898795117	628.032294306718	864.219238462571	520.545795981083	284.273990739181	1033.92384809853	874.847882855758	1233.92310120488	455.540728933228	HF	LF	HF	LF	LF	8
1		TestProc	LF	enemy	ledger	bilge	uncool	danger	23	213	286	147	86	1000	2	ledger	213	996.292451395709	156.798058619024	622.144385993989	860.46822717817	455.495321624672	414.7450576732	1057.85561400601	860.46822717817	1239.02562010393	497.09741050235	HF	LF	LF	LF	HF	6
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	LF	noise	safari	injury	trolley	redneck	341	277	148	213	58	750	4	trolley	213	709.772738217137	146.792569760273	442.981539343471	476.252262637941	1051.96770569328	864.21923846257	622.144385993989	860.46822717817	1179.21923846257	313.032294306718	HF	LF	HF	LF	LF	8
1		TestProc	LF	growl	larynx	ditto	dozen	counsel	307	13	179	242	106	750	1	growl	307	520.545795981083	284.273990739181	929.980421737546	135.251974085906	846.980962574913	924.939078062557	486.820962856429	712.788625114356	1224.50467837533	635.2549423268	LF	LF	LF	HF	HF	0
1		TestProc	LF	analogy	bacon	lotto	result	premium	350	136	289	217	65	1000	1	analogy	350	770.540728933227	131.076898795117	1117.8633481836	812.73592013546	461.792569760273	394.772738217137	599.273990739181	844.454204018917	1202.52311481466	355.95269530372	LF	HF	LF	HF	LF	4
1		TestProc	LF	version	bedlam	bride	caramel	amnesty	261	326	49	126	195	500	4	caramel	126	444.924663761945	587.573786016092	616.322838611701	193.384970977983	1141.88383208911	262.576388403797	1163.60679774998	760.114100916989	736.472381958992	911.370330515627	HF	LF	HF	LF	LF	8
1		TestProc	HF	devil	ghost	bonfire	discord	cream	308	87	17	161	243	500	2	ghost	87	524.795698557311	278.735409869737	1239.45181390183	504.065617502822	956.948681889095	142.478097614786	970.227261782863	903.207430239727	483.597390324653	706.596199895819	HF	HF	LF	LF	HF	2
1		TestProc	HF	grandma	seafood	comma	oxygen	storm	332	251	40	113	182	1000	4	oxygen	113	652.211374885644	171.820962856429	461.792569760273	655.227261782863	1097.11504387462	218.582222752409	1208.20194138098	681.292451395709	826.040201319	924.756330807638	HF	LF	LF	HF	HF	5
1		TestProc	LF	cause	hideout	kappa	nudity	cherry	80	352	148	283	218	1000	5	cherry	218	1233.92310120488	455.540728933228	784.330759615974	128.892772503372	1051.96770569328	864.21923846257	450.251974085906	435.019578262454	593.735409869737	840.204301442689	HF	LF	LF	LF	HF	6
1		TestProc	HF	whale	trend	spatula	sucker	network	41	125	268	332	191	500	5	network	191	1102.4236115962	223.116167910891	1167.6608177156	754.430574540418	440.243669192362	538.959798681001	652.211374885644	171.820962856429	763.676401849382	917.650873379066	HF	LF	LF	HF	HF	5
1		TestProc	LF	blowout	barrage	traitor	highway	jailer	202	140	286	355	75	750	3	traitor	286	690.157362633635	895.873541826715	1097.11504387462	831.417777247591	455.495321624672	414.7450576732	805.137702900937	126.522120763302	1226.37033051563	421.472381958992	LF	LF	HF	HF	LF	2
1		TestProc	LF	ticker	castle	belly	suitor	bonsai	341	139	206	275	46	1000	3	belly	206	709.772738217137	146.792569760273	1102.4236115962	826.883832089109	664.651541284369	884.517618519667	441.522120763302	490.137702900937	1127.73592013546	247.136651816401	LF	HF	HF	LF	LF	5
1		TestProc	HF	looting	church	nanny	trouble	foxtrot	35	108	314	171	247	500	4	trouble	171	1069.43057454042	197.339182284403	1220.42260651806	648.606797749979	552.264079864539	247.136651816401	902.573786016092	920.075336238055	471.798058619024	681.29245139571	LF	HF	HF	HF	LF	6
1		TestProc	LF	reptile	valley	chemist	theta	profile	171	320	236	36	110	500	2	valley	320	902.573786016092	920.075336238055	582.884956125384	218.582222752409	508.384970977983	748.677161388299	1075.11410091699	201.393202250021	1215.87704831436	661.808057330268	LF	HF	LF	LF	HF	3
1		TestProc	HF	cyanide	slang	trace	massage	store	153	352	221	282	64	1000	3	trace	221	1021.59619989582	881.402609675347	784.330759615974	128.892772503372	577.576388403797	826.883832089109	448.740959706478	441.835323672897	1199.51761851967	349.651541284369	LF	LF	HF	HF	HF	9
1		TestProc	LF	shame	egghead	turnip	adult	cuisine	141	203	297	8	70	500	5	cuisine	70	1091.72815641994	835.858384582788	683.707548604291	893.201941380976	483.597390324653	343.403800104181	895.669240384026	128.892772503372	1215.87704831436	388.191942669732	HF	LF	LF	HF	LF	7
1		TestProc	HF	sweetie	object	missile	forgery	seaweed	285	217	69	360	134	1000	2	object	217	453.629669484373	421.472381958992	599.273990739181	844.454204018917	1213.43217059888	381.65282018188	840	125	1127.73592013546	802.863348183599	HF	HF	HF	LF	LF	0
1		TestProc	LF	mango	turnout	point	brewery	glory	287	224	61	149	351	750	2	turnout	224	457.478097614786	408.051318110905	562.136651816401	812.73592013546	1189.84788285576	331.076151901465	1046.01522996402	867.866920280845	777.426213983908	129.924663761945	LF	LF	HF	LF	HF	1
1		TestProc	HF	evasion	winch	pulse	freak	sword	358	132	289	69	211	750	1	evasion	358	826.040201319	125.243669192362	1137.25793019096	792.652242543543	461.792569760273	394.772738217137	1213.43217059888	381.65282018188	633.984770035978	867.866920280845	LF	LF	HF	HF	HF	9
1		TestProc	HF	prison	savvy	creep	bearer	brain	211	11	73	281	144	750	2	savvy	11	633.984770035978	867.866920280845	916.323598150618	132.349126620934	1222.52190238521	408.051318110905	447.349126620934	448.676401849382	1075.11410091699	848.606797749979	HF	LF	HF	LF	HF	4
1		TestProc	HF	allergy	stomach	witch	folder	crown	194	94	33	258	321	750	3	witch	33	743.231241760133	913.118290510399	1239.02562010393	552.90258949765	1057.85561400601	189.53177282183	448.740959706478	608.164676327104	588.271843580065	214.141615417212	LF	HF	HF	LF	HF	7
1		TestProc	LF	strife	muscle	wildcat	chowder	memory	349	121	254	190	50	1000	4	chowder	190	763.676401849382	132.349126620934	1182.86692028084	731.015229964022	455.495321624672	635.2549423268	770.540728933228	918.923101204883	1146.41777724759	267.884956125384	LF	HF	LF	LF	HF	3
1		TestProc	HF	parade	thunder	compact	speech	lagoon	81	244	13	161	312	750	5	lagoon	312	1235.07533623806	462.426213983908	480.482381480333	700.348458715631	929.980421737546	135.251974085906	970.227261782863	903.207430239727	542.742069809042	257.347757456457	HF	HF	LF	HF	LF	1
1		TestProc	HF	baron	whipper	relief	fairy	eyeball	328	34	263	100	173	500	1	baron	328	628.032294306718	185.78076153743	1063.6771613883	193.384970977983	442.981539343471	573.747737362059	1233.92310120488	594.459271066772	888.747737362059	922.018460656529	HF	LF	HF	HF	LF	3
1		TestProc	LF	color	capital	lunacy	viewer	algebra	147	309	83	22	240	750	5	algebra	240	1057.85561400601	860.46822717817	529.141615417212	273.271843580065	1237.01846065653	476.252262637941	989.842637366365	154.126458173285	493.589838486225	725	HF	HF	LF	LF	LF	9
1		TestProc	HF	estate	ocean	accord	bugle	monkey	291	352	230	61	146	1000	5	monkey	146	466.567829401119	381.65282018188	784.330759615974	128.892772503372	533.582222752409	782.115043874616	1189.84788285576	331.076151901465	1063.6771613883	856.615029022017	HF	HF	LF	LF	HF	2
1		TestProc	LF	format	intake	purse	tablet	colonel	260	102	175	334	37	500	3	purse	175	446.076898795117	594.459271066772	1231.25904029352	608.164676327104	874.862297099063	923.477879236698	664.651541284369	165.482381480333	1080.72600926082	205.545795981083	LF	LF	HF	LF	HF	1
1		TestProc	LF	crush	rowboat	vinegar	wrist	pollen	169	240	78	306	13	1000	2	rowboat	240	916.323598150618	917.650873379066	493.589838486225	725	1231.25904029352	441.835323672896	516.393202250021	289.885899083011	929.980421737546	135.251974085906	HF	LF	LF	HF	LF	7
1		TestProc	LF	bowler	fashion	crewman	phase	eggnog	247	323	164	36	103	500	1	bowler	247	471.798058619024	681.29245139571	599.273990739181	205.545795981083	950.2549423268	909.504678375327	1075.11410091699	201.393202250021	1229.74802591409	614.980421737546	LF	HF	LF	HF	LF	4
1		TestProc	HF	lockup	clown	supper	price	gauze	99	15	165	310	230	1000	1	lockup	99	1235.07533623806	587.573786016092	943.527618041008	138.629669484373	943.527618041008	911.370330515627	533.582222752409	267.884956125384	533.582222752409	782.115043874616	LF	HF	HF	HF	LF	6
1		TestProc	HF	dignity	choice	loyalty	sphinx	fleece	21	232	99	319	171	500	3	loyalty	99	983.34717981812	151.567829401119	524.795698557311	771.264590130263	1235.07533623806	587.573786016092	577.576388403797	223.116167910891	902.573786016092	920.075336238055	HF	HF	HF	LF	LF	0
1		TestProc	HF	replay	bucket	burrito	session	liver	214	282	53	347	138	750	4	session	347	616.322838611701	856.615029022017	448.740959706478	441.835323672897	1159.45420401892	284.273990739181	750.019578262454	135.251974085906	1107.65224254354	822.257930190958	LF	HF	LF	HF	HF	8
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	LF	angel	board	charger	mocha	palate	89	226	163	317	20	750	4	mocha	317	1239.93907806256	518.019037425087	552.26407986454	802.863348183599	956.948681889095	907.521902385214	567.200655975001	232.458519352332	976.808057330268	149.122951685637	HF	HF	LF	LF	LF	9
1		TestProc	HF	woman	problem	factory	lantern	scorn	321	32	113	251	176	750	1	woman	321	588.271843580065	214.141615417212	1051.96770569328	185.78076153743	1208.20194138098	681.292451395709	461.792569760273	655.227261782863	867.90258949765	924.02562010393	HF	HF	HF	LF	LF	0
1		TestProc	LF	skull	bribery	famine	rundown	money	61	266	344	204	130	1000	3	famine	344	1189.84788285576	331.076151901465	440.97437989607	552.90258949765	729.7450576732	140.495321624673	677.30534276968	890.41818305704	1146.41777724759	782.115043874616	HF	LF	LF	LF	HF	6
1		TestProc	HF	weight	chief	sheet	caveman	canon	242	20	99	173	306	1000	3	sheet	99	486.820962856429	712.788625114356	976.808057330268	149.122951685637	1235.07533623806	587.573786016092	888.747737362059	922.018460656529	516.393202250021	289.885899083011	HF	HF	HF	LF	LF	0
1		TestProc	LF	pedal	cigar	concept	ghoul	tracer	68	6	211	295	145	1000	1	pedal	68	1210.87354182671	375.157362633635	881.811385307061	127.191241852691	633.984770035978	867.866920280845	477.47688518534	355.95269530372	1069.43057454042	852.660817715597	LF	HF	HF	LF	LF	5
1		TestProc	LF	muffler	letter	hernia	coward	stooge	206	124	50	271	347	1000	4	coward	271	664.651541284369	884.517618519667	1171.61502902202	748.677161388299	1146.41777724759	267.884956125384	440.060921937443	518.019037425087	750.019578262454	135.251974085906	LF	HF	LF	HF	LF	4
1		TestProc	LF	prowl	looker	pansy	hockey	movie	84	145	206	16	281	750	5	movie	281	1237.80875814731	483.188614692939	1069.43057454042	852.660817715597	664.651541284369	884.517618519667	950.2549423268	140.495321624672	447.349126620934	448.676401849382	LF	LF	LF	HF	HF	0
1		TestProc	LF	outlet	minute	mammal	hearse	affair	313	98	28	159	239	750	3	mammal	28	547.458519352332	252.200655975001	1236.10722749663	580.669240384026	1027.78862511436	171.820962856429	983.34717981812	898.432170598881	497.133079719155	731.015229964022	LF	HF	LF	LF	HF	3
1		TestProc	HF	trucker	season	spider	papaya	trigger	151	24	230	87	320	1000	1	trucker	151	1033.92384809853	874.847882855758	1002.69465723032	159.58181694296	533.582222752409	782.115043874616	1239.45181390183	504.065617502822	582.884956125384	218.582222752409	LF	HF	HF	LF	HF	7
1		TestProc	LF	locket	muzzle	dessert	chick	anomaly	92	20	240	155	318	500	3	dessert	240	1239.75633080764	538.959798681	976.808057330268	149.122951685637	493.589838486225	725	1009.04730469628	887.52311481466	572.347757456457	227.742069809042	LF	LF	HF	HF	LF	2
1		TestProc	HF	condor	museum	clover	dealer	pistol	336	46	182	265	121	750	3	clover	182	677.30534276968	159.58181694296	1127.73592013546	247.136651816401	826.040201319	924.756330807638	441.522120763302	559.862297099063	1182.86692028084	731.015229964022	LF	HF	LF	HF	HF	8
1		TestProc	LF	walnut	contact	shank	review	trait	257	89	177	319	20	500	2	contact	89	450.251974085906	614.980421737546	1239.93907806256	518.019037425087	860.934382497177	924.45181390183	577.576388403797	223.116167910891	976.808057330268	149.122951685637	LF	HF	LF	HF	LF	4
1		TestProc	HF	monster	toast	hippo	court	radium	122	35	265	330	193	500	3	hippo	265	1179.21923846257	736.967705693282	1069.43057454042	197.339182284403	441.522120763302	559.862297099063	640	178.589838486225	750.019578262454	914.748025914094	HF	HF	LF	HF	LF	1
1		TestProc	HF	haste	house	mister	parcel	ranch	334	268	111	188	42	500	4	parcel	188	664.651541284369	165.482381480333	440.243669192362	538.959798681001	1213.43217059888	668.34717981812	784.330759615974	921.107227496628	1107.65224254354	227.742069809042	LF	HF	HF	LF	HF	7
1		TestProc	LF	tattoo	celery	cookie	ballot	audit	131	360	68	209	281	500	5	audit	281	1141.88383208911	787.423611596203	840	125	1210.87354182671	375.157362633635	646.076151901465	874.847882855758	447.349126620934	448.676401849382	HF	LF	HF	LF	LF	8
1		TestProc	HF	camera	sandbox	fellow	water	adviser	272	42	118	341	191	500	2	sandbox	42	440.243669192362	511.040201318999	1107.65224254354	227.742069809042	1193.17903714357	712.788625114356	709.772738217137	146.792569760273	763.676401849382	917.650873379066	HF	LF	HF	HF	LF	3
1		TestProc	HF	wedding	adder	docket	squad	husband	68	355	200	264	129	750	2	adder	355	1210.87354182671	375.157362633635	805.137702900937	126.522120763302	703.191942669732	900.877048314363	442.191241852691	566.811385307061	1150.85838458279	776.728156419935	HF	LF	LF	HF	HF	5
1		TestProc	HF	dentist	prince	pebble	spawn	night	231	4	69	303	131	750	5	night	131	529.141615417212	776.728156419935	867.90258949765	125.97437989607	1213.43217059888	381.65282018188	504.53177282183	307.144385993989	1141.88383208911	787.423611596203	HF	HF	LF	LF	HF	2
1		TestProc	LF	railway	poker	detail	friar	dearie	34	117	319	197	258	500	1	railway	34	1063.6771613883	193.384970977983	1196.40260967535	706.596199895819	577.576388403797	223.116167910891	723.051318110905	907.521902385214	448.740959706478	608.164676327104	LF	HF	HF	LF	LF	5
1		TestProc	HF	romance	county	farming	score	vendor	356	292	139	60	201	1000	2	county	292	812.09741050235	125.97437989607	469.126458173285	375.157362633635	1102.4236115962	826.883832089109	1186.41016151378	325	696.65282018188	898.432170598881	HF	HF	LF	HF	LF	1
1		TestProc	LF	quitter	poultry	manner	mascara	pizza	322	123	192	256	38	750	1	quitter	322	593.735409869736	209.795698557311	1175.46822717817	742.855614006011	756.835323672896	916.259040293522	451.881709489601	621.768758239867	1086.26459013026	209.795698557311	LF	LF	HF	LF	HF	1
1		TestProc	HF	basin	pusher	script	deposit	record	306	82	218	21	146	750	4	deposit	21	516.393202250021	289.885899083011	1236.10722749663	469.330759615974	593.735409869737	840.204301442689	983.34717981812	151.567829401119	1063.6771613883	856.615029022017	LF	LF	HF	HF	HF	9
1		TestProc	HF	shower	turmoil	heart	skater	blanket	127	193	299	4	66	500	1	shower	127	1159.45420401892	765.726009260819	750.019578262454	914.748025914094	490.152117144242	331.076151901465	867.90258949765	125.97437989607	1205.41818305704	362.30534276968	HF	LF	HF	LF	HF	4
1		TestProc	HF	flake	demon	throat	nature	otter	251	190	123	334	47	1000	4	nature	334	461.792569760273	655.227261782863	770.540728933228	918.923101204883	1175.46822717817	742.855614006011	664.651541284369	165.482381480333	1132.54148064767	252.200655975001	LF	HF	HF	HF	LF	6
1		TestProc	HF	esquire	hollow	strip	party	equity	91	22	321	180	244	500	5	equity	244	1239.93907806256	531.980962574913	989.842637366365	154.126458173285	588.271843580065	214.141615417212	840	925	480.482381480333	700.348458715631	LF	HF	HF	HF	LF	6
1		TestProc	LF	system	field	clipper	revival	bidder	300	167	78	6	231	500	4	revival	6	493.589838486225	325	929.980421737546	914.748025914094	1231.25904029352	441.835323672896	881.811385307061	127.191241852691	529.141615417212	776.728156419935	HF	HF	LF	LF	LF	9
1		TestProc	HF	death	eater	soccer	steel	fluff	236	329	174	32	97	1000	5	fluff	97	508.384970977983	748.677161388299	633.984770035978	182.133079719155	881.811385307062	922.808758147309	1051.96770569328	185.78076153743	1237.01846065653	573.747737362059	HF	LF	HF	HF	LF	3
1		TestProc	LF	juice	lyric	darling	silicon	decor	248	186	113	22	311	1000	2	lyric	186	469.126458173285	674.842637366365	798.188614692939	922.808758147309	1208.20194138098	681.292451395709	989.842637366365	154.126458173285	538.116167910891	262.576388403797	HF	LF	HF	LF	LF	8
1		TestProc	LF	river	gunman	bronco	diner	shindig	235	164	19	296	94	1000	5	shindig	94	512.339182284403	754.430574540419	950.2549423268	909.504678375327	970.227261782863	146.792569760273	480.482381480333	349.651541284369	1239.02562010393	552.90258949765	HF	LF	LF	HF	LF	7
1		TestProc	LF	rodent	edema	surgeon	potato	gloom	177	243	98	21	311	750	2	edema	243	860.934382497177	924.45181390183	483.597390324653	706.596199895819	1236.10722749663	580.669240384026	983.34717981812	151.567829401119	538.116167910891	262.576388403797	LF	LF	HF	HF	LF	2
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	HF	percent	village	hickory	tyranny	sheriff	269	73	207	137	333	1000	2	village	73	440.060921937443	531.980962574913	1222.52190238521	408.051318110905	658.403800104182	881.402609675347	1112.799344025	817.541480647668	658.403800104181	168.597390324653	HF	HF	LF	LF	HF	2
1		TestProc	HF	crash	profit	pouch	setback	street	331	192	110	46	256	500	3	pouch	110	646.076151901465	175.152117144242	756.835323672896	916.259040293522	1215.87704831436	661.808057330268	1127.73592013546	247.136651816401	451.881709489601	621.768758239867	HF	HF	LF	LF	HF	2
