Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	LF	nitrate	mango	latch	sphinx	cluster	231	6	164	297	99	750	2	mango	6	529.141615417212	776.728156419935	881.811385307061	127.191241852691	950.2549423268	909.504678375327	483.597390324653	343.403800104181	1235.07533623806	587.573786016092
1		TestProc	HF	temper	request	outfit	spirit	soccer	132	193	7	68	290	750	5	soccer	290	1137.25793019096	792.652242543543	750.019578262454	914.748025914094	888.747737362059	127.981539343471	1210.87354182671	375.157362633635	464.122951685637	388.191942669733
1		TestProc	LF	golfing	mammal	stature	vinegar	gazette	180	26	249	87	320	500	5	gazette	320	840	925	1015.34845871563	165.482381480333	466.567829401119	668.34717981812	1239.45181390183	504.065617502822	582.884956125384	218.582222752409
1		TestProc	LF	nugget	mixer	busboy	sleeper	deluxe	38	315	183	116	244	1000	3	busboy	183	1086.26459013026	209.795698557311	557.157287525381	242.157287525381	819.065617502823	924.45181390183	1199.51761851967	700.348458715631	480.482381480333	700.348458715631
1		TestProc	LF	blitz	hatchet	crease	knuckle	hideout	355	288	74	138	221	1000	1	blitz	355	805.137702900937	126.522120763302	459.577393481939	401.393202250021	1224.50467837533	414.7450576732	1107.65224254354	822.257930190958	577.576388403797	826.883832089109
1		TestProc	HF	grief	respect	shadow	plate	morning	123	267	58	346	198	750	3	shadow	58	1175.46822717817	742.855614006011	440.54818609817	545.934382497178	1179.21923846257	313.032294306718	743.231241760133	136.881709489601	716.393202250021	905.422606518061
1		TestProc	LF	omega	hamper	stinker	trucker	vinyl	27	318	240	169	91	500	1	omega	27	1021.59619989582	168.597390324653	572.347757456457	227.742069809042	493.589838486225	725	916.323598150618	917.650873379066	1239.93907806256	531.980962574913
1		TestProc	LF	ammonia	adder	quake	holder	groin	317	239	166	82	20	1000	5	groin	20	567.200655975001	232.458519352332	497.133079719155	731.015229964022	936.768758239867	913.118290510399	1236.10722749663	469.330759615974	976.808057330268	149.122951685637
1		TestProc	HF	labor	voice	wisdom	sherry	novel	342	126	271	52	194	1000	2	voice	126	716.393202250021	144.577393481939	1163.60679774998	760.114100916989	440.060921937443	518.019037425087	1155.20430144269	278.735409869737	743.231241760133	913.118290510399
1		TestProc	HF	taste	frame	butler	torture	muscle	300	229	155	2	83	750	1	taste	300	493.589838486225	325	538.116167910891	787.423611596203	1009.04730469628	887.52311481466	853.959798681	125.243669192362	1237.01846065653	476.252262637941
1		TestProc	LF	wartime	refusal	chord	umpire	pioneer	213	6	86	293	152	750	1	wartime	213	622.144385993989	860.46822717817	881.811385307061	127.191241852691	1239.02562010393	497.09741050235	471.798058619024	368.707548604291	1027.78862511436	878.179037143571
1		TestProc	HF	target	killer	faith	patch	avenue	353	123	216	285	54	500	1	target	353	791.252262637941	127.981539343471	1175.46822717817	742.855614006011	604.885899083011	848.606797749979	453.629669484373	421.472381958992	1163.60679774998	289.885899083011
1		TestProc	LF	tenor	sentry	phooey	scurvy	symptom	124	350	53	219	284	500	2	sentry	350	1171.61502902202	748.677161388299	770.540728933227	131.076898795117	1159.45420401892	284.273990739181	588.271843580065	835.858384582788	451.881709489601	428.231241760133
1		TestProc	HF	advice	thief	silver	manager	sugar	188	114	45	325	258	750	4	manager	325	784.330759615974	921.107227496628	1205.41818305704	687.69465723032	1122.84271247462	242.157287525381	610.569425459581	197.339182284403	448.740959706478	608.164676327104
1		TestProc	LF	dopey	scorn	outcast	pajama	relic	58	131	205	352	288	750	3	outcast	205	1179.21923846257	313.032294306718	1141.88383208911	787.423611596203	670.95269530372	887.52311481466	784.330759615974	128.892772503372	459.577393481939	401.393202250021
1		TestProc	HF	spell	report	crowd	cheese	steel	36	177	113	261	332	1000	3	crowd	113	1075.11410091699	201.393202250021	860.934382497177	924.45181390183	1208.20194138098	681.292451395709	444.924663761945	587.573786016092	652.211374885644	171.820962856429
1		TestProc	HF	makeup	prince	verdict	village	health	331	107	249	181	40	1000	5	health	40	646.076151901465	175.152117144242	1222.52190238521	641.948681889095	466.567829401119	668.34717981812	833.019037425087	924.939078062557	1097.11504387462	218.582222752409
