Weight	Nested	Procedure	dom_freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	freq1	freq2	freq3	freq4	freq5	freq_config
1		TestProc	LF	loser	outline	proverb	present	cocoon	123	346	62	283	195	500	1	loser	123	1175.46822717817	742.855614006011	743.231241760133	136.881709489601	1193.17903714357	337.211374885644	450.251974085906	435.019578262454	736.472381958992	911.370330515627	HF	LF	LF	HF	LF	7
1		TestProc	HF	defense	dowry	worker	senator	bodega	230	9	161	70	294	750	4	senator	70	533.582222752409	782.115043874616	902.573786016092	129.924663761945	970.227261782863	903.207430239727	1215.87704831436	388.191942669732	474.58181694296	362.30534276968	HF	LF	HF	HF	LF	3
1		TestProc	HF	minute	string	critter	profile	alumni	47	108	178	325	263	500	4	profile	325	1132.54148064767	252.200655975001	1220.42260651806	648.606797749979	853.959798681	924.756330807638	610.569425459581	197.339182284403	442.981539343471	573.747737362059	HF	HF	LF	HF	LF	1
1		TestProc	HF	billing	takeout	chill	secret	month	27	259	326	118	182	1000	4	secret	118	1021.59619989582	168.597390324653	447.349126620934	601.323598150618	616.322838611701	193.384970977983	1193.17903714357	712.788625114356	826.040201319	924.756330807638	LF	LF	HF	HF	HF	9
1		TestProc	LF	jigsaw	jailer	bunch	emperor	baptism	255	108	180	34	321	500	5	baptism	321	453.629669484373	628.527618041008	1220.42260651806	648.606797749979	840	925	1063.6771613883	193.384970977983	588.271843580065	214.141615417212	LF	LF	HF	HF	LF	2
1		TestProc	HF	analogy	queen	drill	sheet	python	141	271	348	57	203	1000	5	python	203	1091.72815641994	835.858384582788	440.060921937443	518.019037425087	756.835323672896	133.740959706478	1175.46822717817	307.144385993989	683.707548604291	893.201941380976	LF	HF	HF	HF	LF	6
1		TestProc	HF	slave	sequel	invalid	trauma	credit	54	191	283	118	345	1000	1	slave	54	1163.60679774998	289.885899083011	763.676401849382	917.650873379066	450.251974085906	435.019578262454	1193.17903714357	712.788625114356	736.472381958992	138.629669484373	HF	LF	LF	HF	HF	5
1		TestProc	LF	grate	lyric	couple	trainee	drama	46	201	263	330	112	500	4	trainee	330	1127.73592013546	247.136651816401	696.65282018188	898.432170598881	442.981539343471	573.747737362059	640	178.589838486225	1210.87354182671	674.842637366365	LF	LF	HF	LF	HF	1
1		TestProc	HF	rivalry	concern	cleaver	breath	bureau	168	312	95	32	230	500	3	cleaver	95	923.164676327104	916.259040293522	542.742069809042	257.347757456457	1238.4778792367	559.862297099063	1051.96770569328	185.78076153743	533.582222752409	782.115043874616	LF	HF	LF	HF	HF	8
1		TestProc	HF	decree	source	crybaby	control	morning	39	246	110	173	322	1000	3	crybaby	110	1091.72815641993	214.141615417212	474.58181694296	687.69465723032	1215.87704831436	661.808057330268	888.747737362059	922.018460656529	593.735409869736	209.795698557311	LF	HF	LF	HF	HF	8
