Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	LF	walnut	discord	eulogy	minibar	spatter	311	249	87	19	169	750	5	spatter	169	538.116167910891	262.576388403797	466.567829401119	668.34717981812	1239.45181390183	504.065617502822	970.227261782863	146.792569760273	916.323598150618	917.650873379066
1		TestProc	HF	wheel	flash	light	mystery	booze	121	340	199	45	279	1000	3	light	199	1182.86692028084	731.015229964022	703.191942669732	149.122951685637	709.772738217137	903.207430239727	1122.84271247462	242.157287525381	444.924663761945	462.426213983908
1		TestProc	LF	mascara	buildup	gizmo	puddle	spawn	346	127	190	65	255	1000	5	spawn	255	743.231241760133	136.881709489601	1159.45420401892	765.726009260819	770.540728933228	918.923101204883	1202.52311481466	355.95269530372	453.629669484373	628.527618041008
1		TestProc	HF	spring	advice	torture	ocean	killer	334	196	260	36	97	500	4	ocean	36	664.651541284369	165.482381480333	729.7450576732	909.504678375328	446.076898795117	594.459271066772	1075.11410091699	201.393202250021	1237.01846065653	573.747737362059
1		TestProc	HF	shrink	affair	potato	tunnel	fortune	6	152	71	287	217	750	2	affair	152	881.811385307061	127.191241852691	1027.78862511436	878.179037143571	1218.20743023973	394.772738217137	457.478097614786	408.051318110905	599.273990739181	844.454204018917
1		TestProc	HF	dining	knife	clerk	sunset	career	169	42	232	106	329	1000	1	dining	169	916.323598150618	917.650873379066	1107.65224254354	227.742069809042	524.795698557311	771.264590130263	1224.50467837533	635.2549423268	633.984770035978	182.133079719155
1		TestProc	LF	toolbox	trend	twerp	putter	incense	265	326	196	121	49	1000	4	putter	121	441.522120763302	559.862297099063	616.322838611701	193.384970977983	729.7450576732	909.504678375328	1182.86692028084	731.015229964022	1141.88383208911	262.576388403797
1		TestProc	LF	venting	fluff	dinky	manger	cello	17	237	95	314	166	1000	1	venting	17	956.948681889095	142.478097614786	504.53177282183	742.855614006011	1238.4778792367	559.862297099063	552.264079864539	247.136651816401	936.768758239867	913.118290510399
1		TestProc	LF	whipper	looney	dodger	egghead	clover	236	99	163	312	18	750	3	dodger	163	508.384970977983	748.677161388299	1235.07533623806	587.573786016092	956.948681889095	907.521902385214	542.742069809042	257.347757456457	963.606797749979	144.577393481939
1		TestProc	HF	landing	stock	event	buddy	shame	74	138	281	9	215	1000	2	stock	138	1224.50467837533	414.7450576732	1107.65224254354	822.257930190958	447.349126620934	448.676401849382	902.573786016092	129.924663761945	610.569425459582	852.660817715597
1		TestProc	HF	meeting	ability	mayor	hockey	magic	131	63	213	283	346	500	3	mayor	213	1141.88383208911	787.423611596203	1196.40260967535	343.403800104181	622.144385993989	860.46822717817	450.251974085906	435.019578262454	743.231241760133	136.881709489601
1		TestProc	HF	truck	curtain	bucket	picture	chief	19	317	82	235	158	750	4	picture	235	970.227261782863	146.792569760273	567.200655975001	232.458519352332	1236.10722749663	469.330759615974	512.339182284403	754.430574540419	989.842637366365	895.873541826715
1		TestProc	LF	alloy	format	critter	handgun	petrol	214	73	152	298	6	750	1	alloy	214	616.322838611701	856.615029022017	1222.52190238521	408.051318110905	1027.78862511436	878.179037143571	486.820962856429	337.211374885644	881.811385307061	127.191241852691
1		TestProc	LF	evasion	chariot	inhaler	whatnot	carton	62	205	269	355	130	750	4	whatnot	355	1193.17903714357	337.211374885644	670.95269530372	887.52311481466	440.060921937443	531.980962574913	805.137702900937	126.522120763302	1146.41777724759	782.115043874616
1		TestProc	HF	glove	movie	spell	wrist	studio	332	186	35	251	100	1000	5	studio	100	652.211374885644	171.820962856429	798.188614692939	922.808758147309	1069.43057454042	197.339182284403	461.792569760273	655.227261782863	1233.92310120488	594.459271066772
1		TestProc	HF	prayer	pencil	marshal	harbor	baron	230	82	306	160	13	500	2	pencil	82	533.582222752409	782.115043874616	1236.10722749663	469.330759615974	516.393202250021	289.885899083011	976.808057330268	900.877048314363	929.980421737546	135.251974085906
1		TestProc	LF	rosary	tanker	forgery	tenure	libido	212	57	354	127	291	750	2	tanker	57	628.032294306718	864.219238462571	1175.46822717817	307.144385993989	798.188614692939	127.191241852691	1159.45420401892	765.726009260819	466.567829401119	381.65282018188
1		TestProc	HF	dragon	salad	store	target	design	79	141	225	18	298	1000	4	target	18	1232.65087337907	448.676401849382	1091.72815641994	835.858384582788	557.157287525381	807.842712474619	963.606797749979	144.577393481939	486.820962856429	337.211374885644
1		TestProc	LF	baboon	index	anthrax	geese	quarry	322	103	196	258	36	1000	2	index	103	593.735409869736	209.795698557311	1229.74802591409	614.980421737546	729.7450576732	909.504678375328	448.740959706478	608.164676327104	1075.11410091699	201.393202250021
1		TestProc	LF	copilot	setback	bearer	lowlife	layaway	138	335	64	199	264	500	1	copilot	138	1107.65224254354	822.257930190958	670.95269530372	162.47688518534	1199.51761851967	349.651541284369	709.772738217137	903.207430239727	442.191241852691	566.811385307061
1		TestProc	LF	sewage	tracer	musket	ammonia	malice	59	209	144	274	339	500	3	musket	144	1182.86692028084	318.984770035978	646.076151901465	874.847882855758	1075.11410091699	848.606797749979	440.97437989607	497.09741050235	696.65282018188	151.567829401119
1		TestProc	HF	cousin	tissue	disease	honey	battery	243	318	93	19	182	750	1	cousin	243	483.597390324653	706.596199895819	572.347757456457	227.742069809042	1239.45181390183	545.934382497177	970.227261782863	146.792569760273	826.040201319	924.756330807638
1		TestProc	HF	empire	member	casino	client	shift	234	103	166	321	34	500	1	empire	234	516.393202250021	760.114100916989	1229.74802591409	614.980421737546	936.768758239867	913.118290510399	588.271843580065	214.141615417212	1063.6771613883	193.384970977983
1		TestProc	HF	virgin	penny	history	buster	majesty	297	190	59	358	128	750	3	history	59	483.597390324653	343.403800104181	770.540728933228	918.923101204883	1182.86692028084	318.984770035978	826.040201319	125.243669192362	1155.20430144269	771.264590130263
1		TestProc	LF	hummer	drinker	eyebrow	fringe	output	67	143	205	359	294	500	5	output	294	1208.20194138098	368.70754860429	1080.72600926082	844.454204018917	670.95269530372	887.52311481466	833.019037425086	125.060921937443	474.58181694296	362.30534276968
1		TestProc	HF	trail	parole	heaven	clock	father	2	73	134	294	195	500	5	father	195	853.959798681	125.243669192362	1222.52190238521	408.051318110905	1127.73592013546	802.863348183599	474.58181694296	362.30534276968	736.472381958992	911.370330515627
1		TestProc	LF	flask	piranha	surfer	cleanup	audit	150	6	221	288	87	1000	3	surfer	221	1040	871.410161513776	881.811385307061	127.191241852691	577.576388403797	826.883832089109	459.577393481939	401.393202250021	1239.45181390183	504.065617502822
1		TestProc	LF	sandbox	louse	prodigy	celery	milking	207	344	146	277	52	500	4	celery	277	658.403800104182	881.402609675347	729.7450576732	140.495321624673	1063.6771613883	856.615029022017	442.981539343471	476.252262637941	1155.20430144269	278.735409869737
1		TestProc	LF	umpire	invoice	calcium	snowman	stair	303	71	239	8	152	500	2	invoice	71	504.53177282183	307.144385993989	1218.20743023973	394.772738217137	497.133079719155	731.015229964022	895.669240384026	128.892772503372	1027.78862511436	878.179037143571
1		TestProc	HF	secret	search	earth	article	trauma	238	165	2	88	300	750	5	trauma	300	500.78076153743	736.967705693282	943.527618041008	911.370330515627	853.959798681	125.243669192362	1239.75633080764	511.040201319	493.589838486225	325
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	LF	impound	mater	jeweler	vortex	camper	139	208	297	7	74	1000	3	jeweler	297	1102.4236115962	826.883832089109	652.211374885644	878.179037143571	483.597390324653	343.403800104181	888.747737362059	127.981539343471	1224.50467837533	414.7450576732
1		TestProc	LF	bonanza	quartet	vicar	ditto	farming	216	360	140	77	294	500	4	ditto	77	604.885899083011	848.606797749979	840	125	1097.11504387462	831.417777247591	1229.74802591409	435.019578262454	474.58181694296	362.30534276968
1		TestProc	HF	heroin	angel	moment	frame	truth	37	309	244	180	106	500	1	heroin	37	1080.72600926082	205.545795981083	529.141615417212	273.271843580065	480.482381480333	700.348458715631	840	925	1224.50467837533	635.2549423268
1		TestProc	LF	brook	climax	staple	caterer	realtor	165	71	292	231	2	750	1	brook	165	943.527618041008	911.370330515627	1218.20743023973	394.772738217137	469.126458173285	375.157362633635	529.141615417212	776.728156419935	853.959798681	125.243669192362
1		TestProc	LF	livery	chuckle	borough	talon	mower	109	182	258	330	32	750	3	borough	258	1218.20743023973	655.227261782863	826.040201319	924.756330807638	448.740959706478	608.164676327104	640	178.589838486225	1051.96770569328	185.78076153743
1		TestProc	HF	policy	panic	season	chance	station	208	298	146	80	4	750	2	panic	298	652.211374885644	878.179037143571	486.820962856429	337.211374885644	1063.6771613883	856.615029022017	1233.92310120488	455.540728933228	867.90258949765	125.97437989607
1		TestProc	LF	possum	joust	hedge	slammer	hatchet	89	290	154	14	228	1000	2	joust	290	1239.93907806256	518.019037425087	464.122951685637	388.191942669733	1015.34845871563	884.517618519667	936.768758239867	136.881709489601	542.742069809042	792.652242543543
1		TestProc	HF	madam	poison	dealer	pattern	winter	337	186	56	259	118	500	3	dealer	56	683.70754860429	156.798058619024	798.188614692939	922.808758147309	1171.61502902202	301.322838611701	447.349126620934	601.323598150618	1193.17903714357	712.788625114356
1		TestProc	HF	field	planet	lesson	vision	order	279	194	344	63	131	1000	1	field	279	444.924663761945	462.426213983908	743.231241760133	913.118290510399	729.7450576732	140.495321624673	1196.40260967535	343.403800104181	1141.88383208911	787.423611596203
1		TestProc	LF	hoodlum	kicker	seaman	wreath	tingle	298	159	12	235	91	1000	1	hoodlum	298	486.820962856429	337.211374885644	983.34717981812	898.432170598881	923.164676327104	133.740959706478	512.339182284403	754.430574540419	1239.93907806256	531.980962574913
1		TestProc	LF	wrinkle	gorge	reptile	topside	syringe	53	209	131	281	351	500	3	reptile	131	1159.45420401892	284.273990739181	646.076151901465	874.847882855758	1141.88383208911	787.423611596203	447.349126620934	448.676401849382	777.426213983908	129.924663761945
1		TestProc	HF	tooth	party	wisdom	murder	episode	123	284	353	196	56	750	5	episode	56	1175.46822717817	742.855614006011	451.881709489601	428.231241760133	791.252262637941	127.981539343471	729.7450576732	909.504678375328	1171.61502902202	301.322838611701
1		TestProc	LF	firearm	plaid	export	wingman	miner	317	249	91	172	21	500	5	miner	21	567.200655975001	232.458519352332	466.567829401119	668.34717981812	1239.93907806256	531.980962574913	895.669240384026	921.107227496628	983.34717981812	151.567829401119
1		TestProc	HF	theory	noise	garbage	dessert	outfit	341	124	195	279	57	500	2	noise	124	709.772738217137	146.792569760273	1171.61502902202	748.677161388299	736.472381958992	911.370330515627	444.924663761945	462.426213983908	1175.46822717817	307.144385993989
1		TestProc	HF	command	suite	warrior	towel	crush	130	256	42	195	320	750	4	towel	195	1146.41777724759	782.115043874616	451.881709489601	621.768758239867	1107.65224254354	227.742069809042	736.472381958992	911.370330515627	582.884956125384	218.582222752409
1		TestProc	HF	image	track	request	servant	accent	122	52	341	197	275	750	1	image	122	1179.21923846257	736.967705693282	1155.20430144269	278.735409869737	709.772738217137	146.792569760273	723.051318110905	907.521902385214	441.522120763302	490.137702900937
1		TestProc	LF	wartime	cocoon	adder	bonsai	collie	171	322	28	245	103	500	1	wartime	171	902.573786016092	920.075336238055	593.735409869736	209.795698557311	1027.78862511436	171.820962856429	477.47688518534	694.04730469628	1229.74802591409	614.980421737546
1		TestProc	LF	arsenal	forum	goner	pointer	jackal	126	350	206	267	65	500	2	forum	350	1163.60679774998	760.114100916989	770.540728933227	131.076898795117	664.651541284369	884.517618519667	440.54818609817	545.934382497178	1202.52311481466	355.95269530372
1		TestProc	LF	canon	brood	blowout	replay	nylon	307	73	231	12	158	750	4	replay	12	520.545795981083	284.273990739181	1222.52190238521	408.051318110905	529.141615417212	776.728156419935	923.164676327104	133.740959706478	989.842637366365	895.873541826715
1		TestProc	HF	bacon	shape	shock	ground	holiday	291	166	84	11	229	1000	5	holiday	229	466.567829401119	381.65282018188	936.768758239867	913.118290510399	1237.80875814731	483.188614692939	916.323598150618	132.349126620934	538.116167910891	787.423611596203
1		TestProc	HF	slave	month	cooking	sight	system	127	66	198	279	341	500	5	system	341	1159.45420401892	765.726009260819	1205.41818305704	362.30534276968	716.393202250021	905.422606518061	444.924663761945	462.426213983908	709.772738217137	146.792569760273
1		TestProc	HF	trailer	counsel	death	alley	locker	7	245	306	136	73	1000	4	alley	136	888.747737362059	127.981539343471	477.47688518534	694.04730469628	516.393202250021	289.885899083011	1117.8633481836	812.73592013546	1222.52190238521	408.051318110905
1		TestProc	LF	cider	malaria	cowgirl	hairdo	urgency	98	10	231	162	296	750	5	urgency	296	1236.10722749663	580.669240384026	909.459271066772	131.076898795117	529.141615417212	776.728156419935	963.606797749979	905.422606518061	480.482381480333	349.651541284369
1		TestProc	LF	vaccine	lorry	dossier	brewery	python	241	23	180	114	311	750	2	lorry	23	490.152117144242	718.923848098535	996.292451395709	156.798058619024	840	925	1205.41818305704	687.69465723032	538.116167910891	262.576388403797
1		TestProc	HF	quality	academy	psycho	silver	eagle	331	200	265	53	122	750	3	psycho	265	646.076151901465	175.152117144242	703.191942669732	900.877048314363	441.522120763302	559.862297099063	1159.45420401892	284.273990739181	1179.21923846257	736.967705693282
1		TestProc	LF	snail	quitter	grate	cluck	enzyme	96	28	259	159	326	1000	5	enzyme	326	1237.80875814731	566.811385307061	1027.78862511436	171.820962856429	447.349126620934	601.323598150618	983.34717981812	898.432170598881	616.322838611701	193.384970977983
1		TestProc	HF	bishop	object	curse	gunshot	beach	202	264	327	141	51	500	4	gunshot	141	690.157362633635	895.873541826715	442.191241852691	566.811385307061	622.144385993989	189.53177282183	1091.72815641994	835.858384582788	1150.85838458279	273.271843580065
1		TestProc	HF	shotgun	brother	power	romance	museum	184	100	247	310	16	1000	2	brother	100	812.09741050235	924.02562010393	1233.92310120488	594.459271066772	471.798058619024	681.29245139571	533.582222752409	267.884956125384	950.2549423268	140.495321624672
