Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	LF	shimmy	sewage	esquire	caterer	mishap	201	337	45	264	121	750	1	shimmy	201	696.65282018188	898.432170598881	683.70754860429	156.798058619024	1122.84271247462	242.157287525381	442.191241852691	566.811385307061	1182.86692028084	731.015229964022
1		TestProc	LF	mandate	keyhole	syringe	lunacy	skater	94	240	160	315	22	1000	1	mandate	94	1239.02562010393	552.90258949765	493.589838486225	725	976.808057330268	900.877048314363	557.157287525381	242.157287525381	989.842637366365	154.126458173285
1		TestProc	HF	judge	mayor	routine	fraud	writer	66	295	133	205	359	750	5	writer	359	1205.41818305704	362.30534276968	477.47688518534	355.95269530372	1132.54148064767	797.799344024999	670.95269530372	887.52311481466	833.019037425086	125.060921937443
1		TestProc	LF	baptism	bazaar	evasion	lullaby	quitter	110	318	39	251	178	750	4	lullaby	251	1215.87704831436	661.808057330268	572.347757456457	227.742069809042	1091.72815641993	214.141615417212	461.792569760273	655.227261782863	853.959798681	924.756330807638
1		TestProc	HF	crush	fever	sugar	butler	frame	154	348	69	216	285	1000	5	frame	285	1015.34845871563	884.517618519667	756.835323672896	133.740959706478	1213.43217059888	381.65282018188	604.885899083011	848.606797749979	453.629669484373	421.472381958992
1		TestProc	HF	lawyer	cheese	rabbit	alcohol	speed	174	237	104	36	325	1000	4	alcohol	36	881.811385307062	922.808758147309	504.53177282183	742.855614006011	1228.1182905104	621.768758239867	1075.11410091699	201.393202250021	610.569425459581	197.339182284403
1		TestProc	LF	lyric	pioneer	tract	midtown	daycare	74	356	292	208	147	750	5	daycare	147	1224.50467837533	414.7450576732	812.09741050235	125.97437989607	469.126458173285	375.157362633635	652.211374885644	878.179037143571	1057.85561400601	860.46822717817
1		TestProc	LF	outing	luger	theta	detox	anthem	352	203	59	126	290	1000	3	theta	59	784.330759615974	128.892772503372	683.707548604291	893.201941380976	1182.86692028084	318.984770035978	1163.60679774998	760.114100916989	464.122951685637	388.191942669733
1		TestProc	LF	nylon	refugee	wreath	glare	vendor	53	213	279	346	150	500	4	glare	346	1159.45420401892	284.273990739181	622.144385993989	860.46822717817	444.924663761945	462.426213983908	743.231241760133	136.881709489601	1040	871.410161513776
1		TestProc	HF	profile	soldier	bread	affair	action	319	100	174	257	33	750	2	soldier	100	577.576388403797	223.116167910891	1233.92310120488	594.459271066772	881.811385307062	922.808758147309	450.251974085906	614.980421737546	1057.85561400601	189.53177282183
