Weight	Nested	Procedure	dom_freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	freq1	freq2	freq3	freq4	freq5	freq_config
1		TestProc	HF	heresy	horse	thumb	syringe	lesson	185	261	30	328	93	500	1	heresy	185	805.137702900937	923.477879236698	444.924663761945	587.573786016092	1040	178.589838486224	628.032294306718	185.78076153743	1239.45181390183	545.934382497177	LF	HF	HF	LF	HF	7
1		TestProc	HF	alloy	bonanza	school	shape	child	348	282	88	149	211	500	2	bonanza	282	756.835323672896	133.740959706478	448.740959706478	441.835323672897	1239.75633080764	511.040201319	1046.01522996402	867.866920280845	633.984770035978	867.866920280845	LF	LF	HF	HF	HF	9
1		TestProc	HF	chief	design	choice	pusher	candor	248	322	33	103	171	1000	1	chief	248	469.126458173285	674.842637366365	593.735409869736	209.795698557311	1057.85561400601	189.53177282183	1229.74802591409	614.980421737546	902.573786016092	920.075336238055	HF	HF	HF	LF	LF	0
1		TestProc	HF	package	patient	metal	apostle	ballad	151	236	15	312	89	750	1	package	151	1033.92384809853	874.847882855758	508.384970977983	748.677161388299	943.527618041008	138.629669484373	542.742069809042	257.347757456457	1239.93907806256	518.019037425087	HF	HF	HF	LF	LF	0
1		TestProc	LF	faction	health	blazer	person	outlet	272	196	130	56	348	750	1	faction	272	440.243669192362	511.040201318999	729.7450576732	909.504678375328	1146.41777724759	782.115043874616	1171.61502902202	301.322838611701	756.835323672896	133.740959706478	LF	HF	LF	HF	LF	4
1		TestProc	HF	dancer	cynic	speech	posture	instant	340	140	61	215	279	500	4	posture	215	703.191942669732	149.122951685637	1097.11504387462	831.417777247591	1189.84788285576	331.076151901465	610.569425459582	852.660817715597	444.924663761945	462.426213983908	HF	LF	HF	LF	HF	4
1		TestProc	LF	pizza	island	healer	lyric	blaster	180	108	244	321	39	750	5	blaster	39	840	925	1220.42260651806	648.606797749979	480.482381480333	700.348458715631	588.271843580065	214.141615417212	1091.72815641993	214.141615417212	HF	HF	LF	LF	LF	9
1		TestProc	LF	village	faraway	liberty	decker	heroism	294	96	162	18	224	500	3	liberty	162	474.58181694296	362.30534276968	1237.80875814731	566.811385307061	963.606797749979	905.422606518061	963.606797749979	144.577393481939	562.136651816401	812.73592013546	HF	LF	HF	LF	LF	8
1		TestProc	HF	locket	citizen	juice	light	vendor	316	187	83	253	22	1000	4	light	253	562.136651816401	237.26407986454	791.252262637941	922.018460656529	1237.01846065653	476.252262637941	457.478097614786	641.948681889095	989.842637366365	154.126458173285	LF	HF	HF	HF	LF	6
1		TestProc	HF	number	scorn	carpet	tragedy	malice	332	117	196	263	40	500	5	malice	40	652.211374885644	171.820962856429	1196.40260967535	706.596199895819	729.7450576732	909.504678375328	442.981539343471	573.747737362059	1097.11504387462	218.582222752409	HF	LF	HF	HF	LF	3
1		TestProc	HF	realtor	tiger	putter	charm	leader	72	279	340	212	139	750	3	putter	340	1220.42260651806	401.393202250021	444.924663761945	462.426213983908	703.191942669732	149.122951685637	628.032294306718	864.219238462571	1102.4236115962	826.883832089109	LF	HF	LF	HF	HF	8
1		TestProc	HF	belly	manager	sheik	groin	miracle	192	261	35	328	127	1000	2	manager	261	756.835323672896	916.259040293522	444.924663761945	587.573786016092	1069.43057454042	197.339182284403	628.032294306718	185.78076153743	1159.45420401892	765.726009260819	HF	HF	LF	LF	HF	2
1		TestProc	HF	scourge	teeth	hammer	wisdom	hussy	44	189	126	341	255	750	5	hussy	255	1117.8633481836	237.264079864539	777.426213983908	920.075336238055	1163.60679774998	760.114100916989	709.772738217137	146.792569760273	453.629669484373	628.527618041008	LF	HF	HF	HF	LF	6
1		TestProc	LF	iodine	prize	pencil	forgery	blitz	41	264	120	326	192	1000	2	prize	264	1102.4236115962	223.116167910891	442.191241852691	566.811385307061	1186.41016151378	725	616.322838611701	193.384970977983	756.835323672896	916.259040293522	LF	HF	HF	LF	LF	5
1		TestProc	LF	ranking	holder	score	senator	methane	152	307	9	224	83	750	2	holder	307	1027.78862511436	878.179037143571	520.545795981083	284.273990739181	902.573786016092	129.924663761945	562.136651816401	812.73592013546	1237.01846065653	476.252262637941	LF	LF	HF	HF	LF	2
1		TestProc	HF	opera	cousin	premise	dopey	stuff	290	76	160	15	226	750	2	cousin	76	464.122951685637	388.191942669733	1228.1182905104	428.231241760133	976.808057330268	900.877048314363	943.527618041008	138.629669484373	552.26407986454	802.863348183599	HF	HF	LF	LF	HF	2
1		TestProc	LF	adult	bodega	pitch	mishap	valor	295	156	7	224	90	1000	5	valor	90	477.47688518534	355.95269530372	1002.69465723032	890.41818305704	888.747737362059	127.981539343471	562.136651816401	812.73592013546	1240	525	HF	LF	HF	LF	LF	8
1		TestProc	LF	dining	rabble	slander	toast	kennel	313	15	87	177	242	500	4	toast	177	547.458519352332	252.200655975001	943.527618041008	138.629669484373	1239.45181390183	504.065617502822	860.934382497177	924.45181390183	486.820962856429	712.788625114356	HF	LF	LF	HF	LF	7
1		TestProc	LF	pokey	havoc	cocoon	affair	sunset	270	346	50	203	117	750	4	affair	203	440	525	743.231241760133	136.881709489601	1146.41777724759	267.884956125384	683.707548604291	893.201941380976	1196.40260967535	706.596199895819	LF	LF	LF	HF	HF	0
