Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	HF	fraud	bacon	fishing	nurse	grandma	100	235	306	167	14	1000	4	nurse	167	1233.92310120488	594.459271066772	512.339182284403	754.430574540419	516.393202250021	289.885899083011	929.980421737546	914.748025914094	936.768758239867	136.881709489601
1		TestProc	HF	respect	column	judge	mister	liquor	257	318	155	21	91	500	4	mister	21	450.251974085906	614.980421737546	572.347757456457	227.742069809042	1009.04730469628	887.52311481466	983.34717981812	151.567829401119	1239.93907806256	531.980962574913
1		TestProc	LF	rundown	fiesta	aroma	lithium	malice	201	127	291	353	56	500	4	lithium	353	696.65282018188	898.432170598881	1159.45420401892	765.726009260819	466.567829401119	381.65282018188	791.252262637941	127.981539343471	1171.61502902202	301.322838611701
1		TestProc	HF	damage	council	order	booth	guest	336	177	267	45	115	1000	5	guest	115	677.30534276968	159.58181694296	860.934382497177	924.45181390183	440.54818609817	545.934382497178	1122.84271247462	242.157287525381	1202.52311481466	694.04730469628
1		TestProc	LF	carton	dodger	comma	socket	clasp	96	159	31	325	237	750	5	clasp	237	1237.80875814731	566.811385307061	983.34717981812	898.432170598881	1046.01522996402	182.133079719155	610.569425459581	197.339182284403	504.53177282183	742.855614006011
1		TestProc	LF	kimono	attire	kingpin	billing	vinegar	233	297	89	150	22	500	2	attire	297	520.545795981083	765.726009260819	483.597390324653	343.403800104181	1239.93907806256	518.019037425087	1040	871.410161513776	989.842637366365	154.126458173285
1		TestProc	HF	heroin	bridge	theory	traffic	peace	295	232	31	109	171	1000	1	heroin	295	477.47688518534	355.95269530372	524.795698557311	771.264590130263	1046.01522996402	182.133079719155	1218.20743023973	655.227261782863	902.573786016092	920.075336238055
1		TestProc	HF	stroke	suspect	sweater	sight	period	135	69	4	217	303	1000	3	sweater	4	1122.84271247462	807.842712474619	1213.43217059888	381.65282018188	867.90258949765	125.97437989607	599.273990739181	844.454204018917	504.53177282183	307.144385993989
1		TestProc	LF	tactic	memento	suitor	density	albino	89	26	158	322	230	500	1	tactic	89	1239.93907806256	518.019037425087	1015.34845871563	165.482381480333	989.842637366365	895.873541826715	593.735409869736	209.795698557311	533.582222752409	782.115043874616
1		TestProc	LF	podium	hairdo	crybaby	blaster	camper	197	111	262	37	328	1000	4	blaster	37	723.051318110905	907.521902385214	1213.43217059888	668.34717981812	443.892772503372	580.669240384026	1080.72600926082	205.545795981083	628.032294306718	185.78076153743
1		TestProc	HF	warden	crash	channel	panic	shotgun	219	350	83	285	153	750	2	crash	350	588.271843580065	835.858384582788	770.540728933227	131.076898795117	1237.01846065653	476.252262637941	453.629669484373	421.472381958992	1021.59619989582	881.402609675347
1		TestProc	LF	mower	dearie	stance	ledger	turnout	185	339	102	278	40	750	3	stance	102	805.137702900937	923.477879236698	696.65282018188	151.567829401119	1231.25904029352	608.164676327104	443.892772503372	469.330759615974	1097.11504387462	218.582222752409
1		TestProc	HF	sword	labor	trauma	budget	estate	342	272	120	54	183	500	3	trauma	120	716.393202250021	144.577393481939	440.243669192362	511.040201318999	1186.41016151378	725	1163.60679774998	289.885899083011	819.065617502823	924.45181390183
1		TestProc	HF	dollar	powder	outfit	source	group	19	230	291	86	152	500	1	dollar	19	970.227261782863	146.792569760273	533.582222752409	782.115043874616	466.567829401119	381.65282018188	1239.02562010393	497.09741050235	1027.78862511436	878.179037143571
1		TestProc	HF	eagle	buddy	pizza	cookie	hostage	280	190	62	342	124	750	4	cookie	342	446.076898795117	455.540728933228	770.540728933228	918.923101204883	1193.17903714357	337.211374885644	716.393202250021	144.577393481939	1171.61502902202	748.677161388299
1		TestProc	LF	prodigy	rowing	emery	outing	taboo	295	146	1	208	78	500	3	emery	1	477.47688518534	355.95269530372	1063.6771613883	856.615029022017	846.980962574913	125.060921937443	652.211374885644	878.179037143571	1231.25904029352	441.835323672896
1		TestProc	LF	mockery	slugger	invoice	talon	pagoda	74	9	163	236	300	1000	3	invoice	163	1224.50467837533	414.7450576732	902.573786016092	129.924663761945	956.948681889095	907.521902385214	508.384970977983	748.677161388299	493.589838486225	325
1		TestProc	LF	crock	leech	perch	deluxe	whipper	34	255	176	108	323	500	5	whipper	323	1063.6771613883	193.384970977983	453.629669484373	628.527618041008	867.90258949765	924.02562010393	1220.42260651806	648.606797749979	599.273990739181	205.545795981083
