Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	delay	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	LF	lunacy	wreath	firearm	tarot	quake	356	217	71	290	147	250	2	wreath	217	812.09741050235	125.97437989607	599.273990739181	844.454204018917	1218.20743023973	394.772738217137	464.122951685637	388.191942669733	1057.85561400601	860.46822717817
1		TestProc	HF	colonel	plane	force	shadow	version	336	262	135	74	200	350	4	shadow	74	677.30534276968	159.58181694296	443.892772503372	580.669240384026	1122.84271247462	807.842712474619	1224.50467837533	414.7450576732	703.191942669732	900.877048314363
1		TestProc	LF	hoodlum	default	gentry	dingo	fluke	177	248	19	105	317	250	3	gentry	19	860.934382497177	924.45181390183	469.126458173285	674.842637366365	970.227261782863	146.792569760273	1226.37033051563	628.527618041008	567.200655975001	232.458519352332
1		TestProc	HF	reward	grade	stake	counter	border	32	330	249	120	183	250	2	grade	330	1051.96770569328	185.78076153743	640	178.589838486225	466.567829401119	668.34717981812	1186.41016151378	725	819.065617502823	924.45181390183
1		TestProc	HF	ability	robot	record	matter	pumpkin	67	287	213	4	150	150	1	ability	67	1208.20194138098	368.70754860429	457.478097614786	408.051318110905	622.144385993989	860.46822717817	867.90258949765	125.97437989607	1040	871.410161513776
1		TestProc	HF	fever	rumor	luggage	account	delay	348	50	218	284	118	150	3	luggage	218	756.835323672896	133.740959706478	1146.41777724759	267.884956125384	593.735409869737	840.204301442689	451.881709489601	428.231241760133	1193.17903714357	712.788625114356
1		TestProc	LF	deluxe	stickup	rocker	goner	bilge	206	64	130	359	279	250	1	deluxe	206	664.651541284369	884.517618519667	1199.51761851967	349.651541284369	1146.41777724759	782.115043874616	833.019037425086	125.060921937443	444.924663761945	462.426213983908
1		TestProc	HF	captain	thief	alley	master	hunting	324	109	40	182	263	150	5	hunting	263	604.885899083011	201.393202250021	1218.20743023973	655.227261782863	1097.11504387462	218.582222752409	826.040201319	924.756330807638	442.981539343471	573.747737362059
1		TestProc	HF	balance	safety	rabbit	review	glory	51	267	197	348	116	150	2	safety	267	1150.85838458279	273.271843580065	440.54818609817	545.934382497178	723.051318110905	907.521902385214	756.835323672896	133.740959706478	1199.51761851967	700.348458715631
1		TestProc	LF	gander	watcher	puddle	drought	fluff	177	96	246	25	322	350	5	fluff	322	860.934382497177	924.45181390183	1237.80875814731	566.811385307061	474.58181694296	687.69465723032	1009.04730469628	162.47688518534	593.735409869736	209.795698557311
1		TestProc	LF	helium	copilot	kicker	premium	swarm	329	37	244	103	166	250	5	swarm	166	633.984770035978	182.133079719155	1080.72600926082	205.545795981083	480.482381480333	700.348458715631	1229.74802591409	614.980421737546	936.768758239867	913.118290510399
1		TestProc	HF	shell	police	trial	profit	command	135	227	354	288	64	350	3	trial	354	1122.84271247462	807.842712474619	547.458519352332	797.799344025	798.188614692939	127.191241852691	459.577393481939	401.393202250021	1199.51761851967	349.651541284369
1		TestProc	LF	luger	bondage	rodent	machete	burner	287	70	151	360	214	150	2	bondage	70	457.478097614786	408.051318110905	1215.87704831436	388.191942669732	1033.92384809853	874.847882855758	840	125	616.322838611701	856.615029022017
1		TestProc	LF	guile	vinyl	hobbit	zephyr	arsenic	168	301	231	24	97	150	3	hobbit	231	923.164676327104	916.259040293522	497.133079719155	318.984770035978	529.141615417212	776.728156419935	1002.69465723032	159.58181694296	1237.01846065653	573.747737362059
1		TestProc	HF	steel	emperor	surgeon	shift	waiter	182	20	244	309	102	250	1	steel	182	826.040201319	924.756330807638	976.808057330268	149.122951685637	480.482381480333	700.348458715631	529.141615417212	273.271843580065	1231.25904029352	608.164676327104
1		TestProc	LF	booger	bleeder	bodega	stooge	giver	191	43	267	105	334	350	2	bleeder	43	763.676401849382	917.650873379066	1112.799344025	232.458519352332	440.54818609817	545.934382497178	1226.37033051563	628.527618041008	664.651541284369	165.482381480333
1		TestProc	HF	combat	garden	silver	lecture	toilet	151	216	290	90	358	250	4	lecture	90	1033.92384809853	874.847882855758	604.885899083011	848.606797749979	464.122951685637	388.191942669733	1240	525	826.040201319	125.243669192362
1		TestProc	LF	output	alamo	slander	crewman	granite	199	52	121	345	281	150	1	output	199	709.772738217137	903.207430239727	1155.20430144269	278.735409869737	1182.86692028084	731.015229964022	736.472381958992	138.629669484373	447.349126620934	448.676401849382
1		TestProc	LF	eggnog	scuba	cortex	cleanup	finesse	306	95	242	176	16	250	4	cleanup	176	516.393202250021	289.885899083011	1238.4778792367	559.862297099063	486.820962856429	712.788625114356	867.90258949765	924.02562010393	950.2549423268	140.495321624672
1		TestProc	HF	timing	pizza	action	weather	cancer	322	170	39	101	232	350	5	cancer	232	593.735409869736	209.795698557311	909.459271066772	918.923101204883	1091.72815641993	214.141615417212	1232.65087337907	601.323598150618	524.795698557311	771.264590130263
1		TestProc	LF	cadaver	mumbo	outlook	cyanide	sunup	267	128	46	190	344	150	4	cyanide	190	440.54818609817	545.934382497178	1155.20430144269	771.264590130263	1127.73592013546	247.136651816401	770.540728933228	918.923101204883	729.7450576732	140.495321624673
1		TestProc	HF	chicken	vault	movie	board	advance	157	90	310	222	14	250	3	movie	310	996.29245139571	893.201941380976	1240	525	533.582222752409	267.884956125384	572.347757456457	822.257930190958	936.768758239867	136.881709489601
1		TestProc	LF	prude	ledger	armory	smudge	margin	321	163	246	24	87	350	3	armory	246	588.271843580065	214.141615417212	956.948681889095	907.521902385214	474.58181694296	687.69465723032	1002.69465723032	159.58181694296	1239.45181390183	504.065617502822
1		TestProc	HF	tattoo	cause	chief	beard	flight	112	177	243	50	326	350	2	cause	177	1210.87354182671	674.842637366365	860.934382497177	924.45181390183	483.597390324653	706.596199895819	1146.41777724759	267.884956125384	616.322838611701	193.384970977983
1		TestProc	HF	booth	light	dozen	airport	panic	289	133	5	66	222	250	5	panic	222	461.792569760273	394.772738217137	1132.54148064767	797.799344024999	874.862297099063	126.522120763302	1205.41818305704	362.30534276968	572.347757456457	822.257930190958
1		TestProc	HF	labor	vampire	coach	concert	apple	119	38	255	183	330	350	1	labor	119	1189.84788285576	718.923848098535	1086.26459013026	209.795698557311	453.629669484373	628.527618041008	819.065617502823	924.45181390183	640	178.589838486225
1		TestProc	LF	invoice	anomaly	modesty	graft	louse	197	123	346	274	51	150	5	louse	51	723.051318110905	907.521902385214	1175.46822717817	742.855614006011	743.231241760133	136.881709489601	440.97437989607	497.09741050235	1150.85838458279	273.271843580065
1		TestProc	HF	package	attempt	casino	pistol	clown	165	247	24	314	86	150	4	pistol	314	943.527618041008	911.370330515627	471.798058619024	681.29245139571	1002.69465723032	159.58181694296	552.264079864539	247.136651816401	1239.02562010393	497.09741050235
1		TestProc	LF	candor	bayonet	ballad	hammock	pianist	20	318	161	84	255	350	4	hammock	84	976.808057330268	149.122951685637	572.347757456457	227.742069809042	970.227261782863	903.207430239727	1237.80875814731	483.188614692939	453.629669484373	628.527618041008
