Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	delay	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	HF	north	reality	alcohol	steak	quarter	99	246	35	175	334	250	1	north	99	1235.07533623806	587.573786016092	474.58181694296	687.69465723032	1069.43057454042	197.339182284403	874.862297099063	923.477879236698	664.651541284369	165.482381480333
1		TestProc	LF	chord	glucose	putter	fiesta	realtor	261	193	324	129	34	150	2	glucose	193	444.924663761945	587.573786016092	750.019578262454	914.748025914094	604.885899083011	201.393202250021	1150.85838458279	776.728156419935	1063.6771613883	193.384970977983
1		TestProc	HF	majesty	thumb	chief	square	company	92	310	14	171	247	250	5	company	247	1239.75633080764	538.959798681	533.582222752409	267.884956125384	936.768758239867	136.881709489601	902.573786016092	920.075336238055	471.798058619024	681.29245139571
1		TestProc	HF	closet	valley	center	silence	taste	73	275	205	354	142	150	1	closet	73	1222.52190238521	408.051318110905	441.522120763302	490.137702900937	670.95269530372	887.52311481466	798.188614692939	127.191241852691	1086.26459013026	840.204301442689
1		TestProc	LF	workmen	escrow	empathy	dinky	plank	87	151	318	245	26	150	5	plank	26	1239.45181390183	504.065617502822	1033.92384809853	874.847882855758	572.347757456457	227.742069809042	477.47688518534	694.04730469628	1015.34845871563	165.482381480333
1		TestProc	LF	railway	nugget	graft	suede	strand	266	35	106	182	331	150	1	railway	266	440.97437989607	552.90258949765	1069.43057454042	197.339182284403	1224.50467837533	635.2549423268	826.040201319	924.756330807638	646.076151901465	175.152117144242
1		TestProc	HF	scene	trouble	heart	costume	jungle	289	71	143	219	4	350	1	scene	289	461.792569760273	394.772738217137	1218.20743023973	394.772738217137	1080.72600926082	844.454204018917	588.271843580065	835.858384582788	867.90258949765	125.97437989607
1		TestProc	HF	request	holly	priest	record	defense	334	37	272	168	107	350	3	priest	272	664.651541284369	165.482381480333	1080.72600926082	205.545795981083	440.243669192362	511.040201318999	923.164676327104	916.259040293522	1222.52190238521	641.948681889095
1		TestProc	HF	prize	colonel	county	shark	child	259	124	196	49	320	150	5	child	320	447.349126620934	601.323598150618	1171.61502902202	748.677161388299	729.7450576732	909.504678375328	1141.88383208911	262.576388403797	582.884956125384	218.582222752409
1		TestProc	LF	iodine	lowdown	stamina	bowler	vaccine	156	92	218	306	22	250	4	bowler	306	1002.69465723032	890.41818305704	1239.75633080764	538.959798681	593.735409869737	840.204301442689	516.393202250021	289.885899083011	989.842637366365	154.126458173285
1		TestProc	LF	premium	hanger	llama	staging	vinyl	198	274	66	134	4	350	2	hanger	274	716.393202250021	905.422606518061	440.97437989607	497.09741050235	1205.41818305704	362.30534276968	1127.73592013546	802.863348183599	867.90258949765	125.97437989607
