Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	delay	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	LF	python	fossil	scourge	valor	premium	126	54	288	352	189	250	1	python	126	1163.60679774998	760.114100916989	1163.60679774998	289.885899083011	459.577393481939	401.393202250021	784.330759615974	128.892772503372	777.426213983908	920.075336238055
1		TestProc	LF	orchard	outpost	cello	whirl	mater	253	176	328	50	113	250	2	outpost	176	457.478097614786	641.948681889095	867.90258949765	924.02562010393	628.032294306718	185.78076153743	1146.41777724759	267.884956125384	1208.20194138098	681.292451395709
1		TestProc	HF	voice	flash	sister	plane	apology	214	147	5	66	275	250	3	sister	5	616.322838611701	856.615029022017	1057.85561400601	860.46822717817	874.862297099063	126.522120763302	1205.41818305704	362.30534276968	441.522120763302	490.137702900937
1		TestProc	HF	liberty	fever	place	island	target	82	213	283	149	350	350	3	place	283	1236.10722749663	469.330759615974	622.144385993989	860.46822717817	450.251974085906	435.019578262454	1046.01522996402	867.866920280845	770.540728933227	131.076898795117
1		TestProc	LF	leper	stinker	deluxe	firearm	starch	6	290	229	144	82	150	4	firearm	144	881.811385307061	127.191241852691	464.122951685637	388.191942669733	538.116167910891	787.423611596203	1075.11410091699	848.606797749979	1236.10722749663	469.330759615974
1		TestProc	HF	driver	sugar	temper	crack	search	142	10	209	306	73	150	1	driver	142	1086.26459013026	840.204301442689	909.459271066772	131.076898795117	646.076151901465	874.847882855758	516.393202250021	289.885899083011	1222.52190238521	408.051318110905
1		TestProc	HF	funeral	charity	crystal	nephew	guide	80	304	145	222	15	350	4	nephew	222	1233.92310120488	455.540728933228	508.384970977983	301.322838611702	1069.43057454042	852.660817715597	572.347757456457	822.257930190958	943.527618041008	138.629669484373
1		TestProc	HF	table	league	angle	contact	screen	268	46	206	125	333	150	4	contact	125	440.243669192362	538.959798681001	1127.73592013546	247.136651816401	664.651541284369	884.517618519667	1167.6608177156	754.430574540418	658.403800104181	168.597390324653
1		TestProc	LF	arsenal	thumper	gimmick	climax	oxide	310	245	112	16	179	150	2	thumper	245	533.582222752409	267.884956125384	477.47688518534	694.04730469628	1210.87354182671	674.842637366365	950.2549423268	140.495321624672	846.980962574913	924.939078062557
1		TestProc	HF	monkey	adult	potato	machine	thief	3	138	221	65	289	350	1	monkey	3	860.934382497178	125.54818609817	1107.65224254354	822.257930190958	577.576388403797	826.883832089109	1202.52311481466	355.95269530372	461.792569760273	394.772738217137
1		TestProc	LF	archive	seaweed	caper	canon	kiddie	154	359	281	87	216	250	5	kiddie	216	1015.34845871563	884.517618519667	833.019037425086	125.060921937443	447.349126620934	448.676401849382	1239.45181390183	504.065617502822	604.885899083011	848.606797749979
1		TestProc	LF	giver	banjo	wedlock	uncool	buffer	272	133	338	50	204	150	1	giver	272	440.243669192362	511.040201318999	1132.54148064767	797.799344024999	690.157362633635	154.126458173285	1146.41777724759	267.884956125384	677.30534276968	890.41818305704
1		TestProc	HF	motive	number	hammer	academy	field	43	341	188	126	259	350	2	number	341	1112.799344025	232.458519352332	709.772738217137	146.792569760273	784.330759615974	921.107227496628	1163.60679774998	760.114100916989	447.349126620934	601.323598150618
1		TestProc	HF	emperor	colonel	society	comedy	sherry	143	60	353	290	211	150	5	sherry	211	1080.72600926082	844.454204018917	1186.41016151378	325	791.252262637941	127.981539343471	464.122951685637	388.191942669733	633.984770035978	867.866920280845
1		TestProc	HF	present	ground	blood	castle	guest	114	49	179	260	340	150	3	blood	179	1205.41818305704	687.69465723032	1141.88383208911	262.576388403797	846.980962574913	924.939078062557	446.076898795117	594.459271066772	703.191942669732	149.122951685637
1		TestProc	LF	sedan	seaman	musket	kickoff	canteen	184	250	313	103	41	350	2	seaman	250	812.09741050235	924.02562010393	464.122951685637	661.808057330268	547.458519352332	252.200655975001	1229.74802591409	614.980421737546	1102.4236115962	223.116167910891
1		TestProc	LF	hernia	clink	clover	savvy	serpent	279	207	67	146	359	250	3	clover	67	444.924663761945	462.426213983908	658.403800104182	881.402609675347	1208.20194138098	368.70754860429	1063.6771613883	856.615029022017	833.019037425086	125.060921937443
1		TestProc	LF	culprit	prenup	phooey	fringe	dearie	247	95	186	28	315	150	3	phooey	186	471.798058619024	681.29245139571	1238.4778792367	559.862297099063	798.188614692939	922.808758147309	1027.78862511436	171.820962856429	557.157287525381	242.157287525381
1		TestProc	HF	coast	weight	burden	problem	fruit	82	8	298	234	144	250	5	fruit	144	1236.10722749663	469.330759615974	895.669240384026	128.892772503372	486.820962856429	337.211374885644	516.393202250021	760.114100916989	1075.11410091699	848.606797749979
1		TestProc	HF	closet	capital	reward	marshal	heart	114	184	52	326	255	250	1	closet	114	1205.41818305704	687.69465723032	812.09741050235	924.02562010393	1155.20430144269	278.735409869737	616.322838611701	193.384970977983	453.629669484373	628.527618041008
1		TestProc	LF	crowbar	spatter	replica	mosque	spender	86	192	24	318	254	350	4	mosque	318	1239.02562010393	497.09741050235	756.835323672896	916.259040293522	1002.69465723032	159.58181694296	572.347757456457	227.742069809042	455.495321624672	635.2549423268
1		TestProc	LF	spunk	thinker	vaccine	slang	mileage	93	318	172	250	31	350	1	spunk	93	1239.45181390183	545.934382497177	572.347757456457	227.742069809042	895.669240384026	921.107227496628	464.122951685637	661.808057330268	1046.01522996402	182.133079719155
1		TestProc	LF	hamper	gateway	dialect	staple	jackal	322	261	39	114	179	250	4	staple	114	593.735409869736	209.795698557311	444.924663761945	587.573786016092	1091.72815641993	214.141615417212	1205.41818305704	687.69465723032	846.980962574913	924.939078062557
1		TestProc	HF	nurse	mother	stock	subject	opening	6	210	74	144	280	250	2	mother	210	881.811385307061	127.191241852691	640	871.410161513775	1224.50467837533	414.7450576732	1075.11410091699	848.606797749979	446.076898795117	455.540728933228
1		TestProc	LF	kingpin	tactic	bellman	workmen	zillion	284	212	136	74	2	350	5	zillion	2	451.881709489601	428.231241760133	628.032294306718	864.219238462571	1117.8633481836	812.73592013546	1224.50467837533	414.7450576732	853.959798681	125.243669192362
1		TestProc	HF	lunch	nature	temple	comment	torture	23	177	96	251	322	250	4	comment	251	996.292451395709	156.798058619024	860.934382497177	924.45181390183	1237.80875814731	566.811385307061	461.792569760273	655.227261782863	593.735409869736	209.795698557311
1		TestProc	LF	egghead	torso	amnesty	nitwit	infidel	211	73	278	342	142	350	3	amnesty	278	633.984770035978	867.866920280845	1222.52190238521	408.051318110905	443.892772503372	469.330759615974	716.393202250021	144.577393481939	1086.26459013026	840.204301442689
1		TestProc	LF	phobia	guzzler	kicker	esquire	imagery	85	298	4	229	156	150	5	imagery	156	1238.4778792367	490.137702900937	486.820962856429	337.211374885644	867.90258949765	125.97437989607	538.116167910891	787.423611596203	1002.69465723032	890.41818305704
1		TestProc	HF	monitor	cream	sheet	bible	market	348	56	132	204	267	150	2	cream	56	756.835323672896	133.740959706478	1171.61502902202	301.322838611701	1137.25793019096	792.652242543543	677.30534276968	890.41818305704	440.54818609817	545.934382497178
1		TestProc	HF	column	mission	fantasy	verdict	revenge	255	27	172	321	94	350	5	revenge	94	453.629669484373	628.527618041008	1021.59619989582	168.597390324653	895.669240384026	921.107227496628	588.271843580065	214.141615417212	1239.02562010393	552.90258949765
1		BreakProc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1		TestProc	HF	window	diner	taste	century	talent	351	207	290	145	65	250	2	diner	207	777.426213983908	129.924663761945	658.403800104182	881.402609675347	464.122951685637	388.191942669733	1069.43057454042	852.660817715597	1202.52311481466	355.95269530372
1		TestProc	LF	caterer	alloy	learner	wharf	sphinx	185	110	47	276	340	350	4	wharf	276	805.137702900937	923.477879236698	1215.87704831436	661.808057330268	1132.54148064767	252.200655975001	442.191241852691	483.188614692939	703.191942669732	149.122951685637
1		TestProc	HF	victim	hunting	belly	mercy	horse	9	162	306	85	240	150	5	horse	240	902.573786016092	129.924663761945	963.606797749979	905.422606518061	516.393202250021	289.885899083011	1238.4778792367	490.137702900937	493.589838486225	725
1		TestProc	LF	cipher	granite	putty	hoodlum	gizmo	153	88	18	236	308	250	2	granite	88	1021.59619989582	881.402609675347	1239.75633080764	511.040201319	963.606797749979	144.577393481939	508.384970977983	748.677161388299	524.795698557311	278.735409869737
1		TestProc	LF	midterm	stout	quartet	gunman	borough	168	255	322	29	102	250	3	quartet	322	923.164676327104	916.259040293522	453.629669484373	628.527618041008	593.735409869736	209.795698557311	1033.92384809853	175.152117144242	1231.25904029352	608.164676327104
1		TestProc	HF	holiday	champ	novel	combat	sweetie	1	228	85	160	295	150	1	holiday	1	846.980962574913	125.060921937443	542.742069809042	792.652242543543	1238.4778792367	490.137702900937	976.808057330268	900.877048314363	477.47688518534	355.95269530372
1		TestProc	LF	tyrant	wildcat	omega	crusher	chord	73	282	142	6	212	150	1	tyrant	73	1222.52190238521	408.051318110905	448.740959706478	441.835323672897	1086.26459013026	840.204301442689	881.811385307061	127.191241852691	628.032294306718	864.219238462571
1		TestProc	HF	program	parole	evening	project	custody	58	332	197	262	125	150	3	evening	197	1179.21923846257	313.032294306718	652.211374885644	171.820962856429	723.051318110905	907.521902385214	443.892772503372	580.669240384026	1167.6608177156	754.430574540418
1		TestProc	LF	quota	pantry	hornet	garment	poultry	286	78	223	12	143	150	4	garment	12	455.495321624672	414.7450576732	1231.25904029352	441.835323672896	567.200655975001	817.541480647668	923.164676327104	133.740959706478	1080.72600926082	844.454204018917
1		TestProc	HF	pocket	signal	weapon	power	collar	349	287	209	116	55	250	3	weapon	209	763.676401849382	132.349126620934	457.478097614786	408.051318110905	646.076151901465	874.847882855758	1199.51761851967	700.348458715631	1167.6608177156	295.569425459582
1		TestProc	HF	steak	fraud	company	master	factory	271	143	206	349	79	350	4	master	349	440.060921937443	518.019037425087	1080.72600926082	844.454204018917	664.651541284369	884.517618519667	763.676401849382	132.349126620934	1232.65087337907	448.676401849382
1		TestProc	LF	blimp	pillar	cider	email	adder	107	29	176	246	313	150	3	cider	176	1222.52190238521	641.948681889095	1033.92384809853	175.152117144242	867.90258949765	924.02562010393	474.58181694296	687.69465723032	547.458519352332	252.200655975001
1		TestProc	LF	dowry	lyric	adviser	mishap	quarry	208	273	3	146	72	350	2	lyric	273	652.211374885644	878.179037143571	440.54818609817	504.065617502822	860.934382497178	125.54818609817	1063.6771613883	856.615029022017	1220.42260651806	401.393202250021
1		TestProc	HF	madam	vehicle	coach	shock	honor	112	282	343	174	50	250	5	honor	50	1210.87354182671	674.842637366365	448.740959706478	441.835323672897	723.051318110906	142.478097614786	881.811385307062	922.808758147309	1146.41777724759	267.884956125384
1		TestProc	HF	bridge	knife	reality	plastic	grade	139	76	312	212	14	350	5	grade	14	1102.4236115962	826.883832089109	1228.1182905104	428.231241760133	542.742069809042	257.347757456457	628.032294306718	864.219238462571	936.768758239867	136.881709489601
1		TestProc	HF	uncle	family	poison	darling	gunshot	146	13	251	84	312	250	1	uncle	146	1063.6771613883	856.615029022017	929.980421737546	135.251974085906	461.792569760273	655.227261782863	1237.80875814731	483.188614692939	542.742069809042	257.347757456457
1		TestProc	LF	nitrate	gauze	sentry	arsenic	cougar	220	286	349	132	55	350	5	cougar	55	582.884956125384	831.417777247591	455.495321624672	414.7450576732	763.676401849382	132.349126620934	1137.25793019096	792.652242543543	1167.6608177156	295.569425459582
1		TestProc	HF	station	therapy	poker	powder	peanut	323	121	261	37	183	350	1	station	323	599.273990739181	205.545795981083	1182.86692028084	731.015229964022	444.924663761945	587.573786016092	1080.72600926082	205.545795981083	819.065617502823	924.45181390183
1		TestProc	LF	sandbox	bedlam	boating	mirage	glitter	282	217	85	355	150	350	3	boating	85	448.740959706478	441.835323672897	599.273990739181	844.454204018917	1238.4778792367	490.137702900937	805.137702900937	126.522120763302	1040	871.410161513776
1		TestProc	LF	bouncer	demise	matinee	biker	gazette	168	254	105	35	318	350	1	bouncer	168	923.164676327104	916.259040293522	455.495321624672	635.2549423268	1226.37033051563	628.527618041008	1069.43057454042	197.339182284403	572.347757456457	227.742069809042
1		TestProc	HF	vault	cloud	wedding	bedroom	script	107	175	236	6	299	150	4	bedroom	6	1222.52190238521	641.948681889095	874.862297099063	923.477879236698	508.384970977983	748.677161388299	881.811385307061	127.191241852691	490.152117144242	331.076151901465
1		TestProc	HF	story	country	mayor	rumor	motel	151	309	246	89	21	250	4	rumor	89	1033.92384809853	874.847882855758	529.141615417212	273.271843580065	474.58181694296	687.69465723032	1239.93907806256	518.019037425087	983.34717981812	151.567829401119
