Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	LF	topside	cuisine	aroma	farce	phooey	307	235	165	19	85	1000	3	aroma	165	520.545795981083	284.273990739181	512.339182284403	754.430574540419	943.527618041008	911.370330515627	970.227261782863	146.792569760273	1238.4778792367	490.137702900937
1		TestProc	HF	castle	group	clown	member	award	198	60	343	282	124	1000	3	clown	343	716.393202250021	905.422606518061	1186.41016151378	325	723.051318110906	142.478097614786	448.740959706478	441.835323672897	1171.61502902202	748.677161388299
1		TestProc	LF	tyranny	farming	rowboat	petunia	pebble	54	339	264	195	133	750	3	rowboat	264	1163.60679774998	289.885899083011	696.65282018188	151.567829401119	442.191241852691	566.811385307061	736.472381958992	911.370330515627	1132.54148064767	797.799344024999
1		TestProc	HF	place	voice	victim	route	chance	29	235	98	172	328	1000	2	voice	235	1033.92384809853	175.152117144242	512.339182284403	754.430574540419	1236.10722749663	580.669240384026	895.669240384026	921.107227496628	628.032294306718	185.78076153743
1		TestProc	HF	hammer	noise	plate	dozen	bishop	247	180	329	106	42	500	2	noise	180	471.798058619024	681.29245139571	840	925	633.984770035978	182.133079719155	1224.50467837533	635.2549423268	1107.65224254354	227.742069809042
1		TestProc	LF	allergy	kappa	voltage	ammonia	chaser	281	342	199	51	122	500	2	kappa	342	447.349126620934	448.676401849382	716.393202250021	144.577393481939	709.772738217137	903.207430239727	1150.85838458279	273.271843580065	1179.21923846257	736.967705693282
1		TestProc	HF	corpse	trail	whistle	ghost	loyalty	271	332	43	110	193	750	3	whistle	43	440.060921937443	518.019037425087	652.211374885644	171.820962856429	1112.799344025	232.458519352332	1215.87704831436	661.808057330268	750.019578262454	914.748025914094
1		TestProc	HF	sweater	juice	colonel	planet	steam	79	160	289	223	360	1000	1	sweater	79	1232.65087337907	448.676401849382	976.808057330268	900.877048314363	461.792569760273	394.772738217137	567.200655975001	817.541480647668	840	125
1		TestProc	HF	point	freak	sheriff	power	spirit	141	329	206	268	47	500	5	spirit	47	1091.72815641994	835.858384582788	633.984770035978	182.133079719155	664.651541284369	884.517618519667	440.243669192362	538.959798681001	1132.54148064767	252.200655975001
1		TestProc	LF	spatter	fossil	atheist	valor	ivory	271	126	61	188	357	500	4	valor	188	440.060921937443	518.019037425087	1163.60679774998	760.114100916989	1189.84788285576	331.076151901465	784.330759615974	921.107227496628	819.065617502822	125.54818609817
