Weight	Nested	Procedure	freq	word1	word2	word3	word4	word5	angle1	angle2	angle3	angle4	angle5	duration	target_word_place	target_word	target_angle	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5
1		TestProc	HF	friend	weapon	diner	robbery	defense	167	98	307	246	24	500	4	robbery	246	929.980421737546	914.748025914094	1236.10722749663	580.669240384026	520.545795981083	284.273990739181	474.58181694296	687.69465723032	1002.69465723032	159.58181694296
1		TestProc	LF	surfer	tyranny	whirl	hermit	havoc	314	229	96	17	163	500	1	surfer	314	552.264079864539	247.136651816401	538.116167910891	787.423611596203	1237.80875814731	566.811385307061	956.948681889095	142.478097614786	956.948681889095	907.521902385214
1		TestProc	LF	prodigy	intake	silicon	burner	fleece	84	23	216	302	153	750	4	burner	302	1237.80875814731	483.188614692939	996.292451395709	156.798058619024	604.885899083011	848.606797749979	500.78076153743	313.032294306718	1021.59619989582	881.402609675347
1		TestProc	HF	strip	diamond	sheet	subject	meaning	241	96	320	163	27	750	1	strip	241	490.152117144242	718.923848098535	1237.80875814731	566.811385307061	582.884956125384	218.582222752409	956.948681889095	907.521902385214	1021.59619989582	168.597390324653
1		TestProc	LF	stout	syringe	fatigue	billing	bilge	209	57	282	347	135	1000	5	bilge	135	646.076151901465	874.847882855758	1175.46822717817	307.144385993989	448.740959706478	441.835323672897	750.019578262454	135.251974085906	1122.84271247462	807.842712474619
1		TestProc	HF	flash	turtle	problem	pound	mouse	138	68	273	210	346	750	3	problem	273	1107.65224254354	822.257930190958	1210.87354182671	375.157362633635	440.54818609817	504.065617502822	640	871.410161513775	743.231241760133	136.881709489601
1		TestProc	LF	decay	tempo	trait	milking	sitcom	126	264	190	46	345	1000	4	milking	46	1163.60679774998	760.114100916989	442.191241852691	566.811385307061	770.540728933228	918.923101204883	1127.73592013546	247.136651816401	736.472381958992	138.629669484373
1		TestProc	LF	listing	anthrax	mascara	whatnot	manhunt	285	144	355	56	224	500	3	mascara	355	453.629669484373	421.472381958992	1075.11410091699	848.606797749979	805.137702900937	126.522120763302	1171.61502902202	301.322838611701	562.136651816401	812.73592013546
1		TestProc	HF	servant	center	model	cable	arrest	241	157	304	35	96	1000	3	model	304	490.152117144242	718.923848098535	996.29245139571	893.201941380976	508.384970977983	301.322838611702	1069.43057454042	197.339182284403	1237.80875814731	566.811385307061
1		TestProc	HF	pizza	proof	pattern	teeth	loyalty	241	161	16	89	303	750	4	teeth	89	490.152117144242	718.923848098535	970.227261782863	903.207430239727	950.2549423268	140.495321624672	1239.93907806256	518.019037425087	504.53177282183	307.144385993989
